lat [deg],lon [deg]
34.5,-76.5
35.5,-76.5
34.0,-78.0
35.5,-77.0
36.0,-76.0
35.0,-76.5
35.0,-77.0
-41.5,148.0
35.5,-76.0
32.5,-80.5
10.5,-14.5
32.5,-81.0
34.5,-77.5
10.5,-14.0
33.5,-80.5
33.0,-80.0
33.5,-79.0
11.0,-14.0
11.0,-14.5
32.0,-81.0
36.0,-78.0
32.0,-80.5
35.5,-78.0
35.0,-78.5
35.0,-107.0
46.0,-92.5
47.5,-96.5
48.5,139.5
36.5,-77.5
45.5,-93.0
47.5,-98.0
31.5,-84.0
10.5,-13.5
11.5,-15.5
-9.5,27.0
34.0,-81.0
17.0,-90.0
18.5,-69.0
10.5,-13.0
19.5,30.5
28.0,-16.5
11.5,-14.0
46.0,-97.0
15.5,-86.0
11.5,-14.5
-30.5,116.0
10.0,-14.0
11.5,-13.5
34.0,-81.5
47.5,-97.5
45.0,-96.0
22.0,-81.5
36.5,-78.5
33.5,-82.0
-21.0,-68.0
-8.0,23.5
21.0,-102.5
42.0,-96.0
12.0,-15.0
-15.5,129.0
50.5,119.0
-13.0,-67.5
33.5,-82.5
46.0,-96.0
32.5,-115.5
11.0,-15.0
15.0,-88.0
46.0,-96.5
-22.5,-53.0
-7.5,25.0
18.0,-102.0
34.5,-83.0
23.0,-104.0
-14.0,-76.0
36.5,-82.0
47.5,-96.0
34.5,-78.0
48.0,-96.5
-12.0,-69.5
-12.0,-70.0
27.5,-82.0
37.5,-100.5
19.5,-103.5
47.0,-97.0
11.5,-15.0
18.5,-68.5
48.0,-111.0
34.0,-78.5
44.5,-84.5
-14.5,-75.5
45.0,-95.0
-11.5,-71.0
18.0,-101.0
8.0,-67.5
45.0,-95.5
-37.5,148.0
-16.5,123.0
19.0,81.0
7.5,31.0
18.5,-96.5
28.0,-15.5
50.0,140.0
23.5,-105.0
19.5,-102.0
33.5,-81.0
21.0,-103.0
43.5,-95.5
30.0,-84.0
30.5,-81.5
44.0,-92.0
25.0,-107.0
19.5,-103.0
-15.0,-75.0
35.0,-79.5
-13.5,133.0
-9.0,25.0
13.5,32.5
20.0,-101.5
20.0,-102.0
34.0,-82.5
46.5,-96.5
32.5,-17.0
9.0,-65.0
20.0,-104.5
-28.5,32.5
31.0,47.5
45.5,-95.5
17.0,-100.5
20.5,-102.0
25.0,-106.5
36.0,-84.0
15.5,-87.0
-29.0,29.5
19.5,-101.0
-11.0,-70.0
20.5,-104.0
12.0,-14.5
-30.0,30.0
33.5,-80.0
39.5,-83.0
45.0,-94.5
12.0,33.0
9.5,-67.5
17.5,-99.5
44.0,-90.0
19.0,-99.0
36.0,-83.5
45.0,-92.0
-9.0,22.0
19.5,-89.0
11.0,-13.5
-30.5,30.0
17.5,-100.5
-13.5,133.5
44.5,-95.0
32.5,-82.0
40.5,-88.5
63.0,142.0
-10.5,-71.5
19.0,-103.5
9.0,-65.5
44.5,-91.0
34.5,44.5
46.5,-97.0
18.0,-100.0
18.0,-101.5
-11.5,130.5
30.0,-85.0
48.0,-110.5
19.5,-105.0
-18.0,-60.5
-15.5,-72.0
9.0,27.5
-24.5,31.0
30.0,-84.5
25.0,-107.5
-12.5,-67.0
43.5,-95.0
-37.5,-61.5
36.0,-99.5
-27.0,30.5
12.5,-10.5
-9.5,23.5
45.5,-94.5
12.5,35.5
20.0,-75.5
21.0,-76.0
-34.0,149.5
-15.5,-74.5
35.5,-85.0
-20.5,-59.5
16.5,-88.5
44.0,-94.0
44.5,-93.0
34.0,-87.5
45.5,-97.0
8.5,-67.5
27.0,-81.5
28.0,102.0
27.0,-80.5
-17.5,-62.5
18.0,-96.5
47.5,-97.0
47.0,-96.5
40.0,-89.0
-11.0,21.5
18.5,-103.0
15.5,-89.5
-14.5,-58.5
-17.5,123.5
20.0,-90.0
-9.0,27.0
15.0,-85.0
40.0,-89.5
68.0,72.5
-38.0,-61.5
-15.0,25.5
19.5,-104.5
39.5,-99.0
-13.0,-76.0
-32.0,116.5
7.0,39.5
30.5,-83.5
34.5,-87.5
64.0,-146.0
16.0,-93.0
16.5,-98.0
31.5,-87.5
-17.5,30.5
29.5,-85.0
-7.5,-79.5
-9.0,26.0
58.5,-4.0
39.0,-89.5
18.0,-66.0
41.5,-94.0
32.0,-86.5
9.5,-63.5
51.5,140.0
-27.0,31.0
16.0,-86.0
29.5,-82.0
-16.0,21.5
30.0,-85.5
31.5,49.0
19.0,-100.0
-35.0,148.5
-16.5,125.0
18.5,-77.5
20.5,-102.5
33.5,-87.0
17.0,-98.0
-15.0,17.5
58.5,-116.5
19.5,-90.5
33.0,-86.5
-34.0,-58.5
31.5,-87.0
32.0,-87.0
40.5,-93.5
48.0,-118.5
45.5,-98.5
37.5,-101.0
21.0,-76.5
-9.0,25.5
48.0,138.0
10.5,-11.0
27.5,-107.5
-14.0,133.0
30.5,-82.0
25.5,-107.5
11.0,-69.5
39.5,-91.5
44.0,80.0
44.0,-93.5
-37.0,149.0
18.0,-102.5
35.0,44.5
-16.5,23.0
44.0,-96.5
-7.0,-79.5
-8.0,-72.5
32.0,-115.0
21.0,101.0
-8.0,25.0
34.0,44.5
14.5,-85.5
-14.0,22.0
-35.5,148.0
12.5,108.0
-36.0,148.0
20.0,83.5
32.0,75.0
-35.0,139.0
-7.5,24.5
24.5,-107.5
-13.5,131.5
29.0,20.0
48.5,136.0
-34.0,116.5
17.0,-95.5
43.5,-3.5
-8.5,20.5
-15.0,130.0
-14.0,126.5
-14.0,18.5
-8.5,24.0
-9.5,17.5
-8.0,23.0
17.0,-99.0
-15.5,127.0
-28.5,115.0
16.5,-94.0
-41.5,146.0
-24.0,30.0
-17.5,122.5
35.5,44.0
-14.0,133.5
-8.0,24.5
23.5,99.5
-15.5,16.5
-17.0,23.0
-8.5,23.5
22.5,100.5
25.5,76.0
34.0,44.0
-26.0,31.0
-9.0,24.0
31.0,48.0
-14.0,-59.0
9.5,-66.5
-37.0,149.5
13.5,41.0
-13.5,132.5
30.5,47.5
31.5,47.5
53.0,140.0
35.0,45.0
-13.0,133.5
-33.5,149.0
10.5,-63.5
-41.5,147.0
28.5,81.5
9.5,-64.5
52.0,54.0
-13.5,131.0
31.5,6.0
