lat [deg],lon [deg]
-37.5,-73.0
-38.5,-73.0
-37.5,-72.5
-33.0,123.0
-36.5,-71.5
-39.0,-72.5
2.5,-74.0
-44.0,-188.0
-33.0,123.5
3.5,-71.5
9.0,-68.0
9.0,-63.0
-37.0,-65.5
-38.0,-72.0
-20.5,-69.5
3.0,-73.5
2.0,-73.5
2.5,-73.5
-20.5,-69.0
-36.0,-71.5
8.5,-63.5
-42.5,-73.0
-32.0,121.5
9.0,-67.0
9.0,-70.5
5.5,-70.0
10.0,-66.0
-30.0,122.5
-30.5,123.5
10.0,-10.0
-37.5,-72.0
2.0,-71.5
-41.5,-73.0
2.5,-72.5
9.0,-68.5
-39.5,-62.0
2.5,-73.0
3.5,-72.5
-44.0,-187.5
-38.0,-73.0
7.0,-72.0
-37.0,-71.5
7.0,-69.0
9.0,-67.5
10.0,-62.5
-42.5,-72.5
9.0,-63.5
-42.0,-74.0
-20.5,-58.0
-43.0,-73.0
9.5,-68.5
-21.5,-61.0
-21.0,-69.5
-1.5,29.0
9.5,-68.0
26.0,-98.0
27.0,-98.0
-29.0,-58.5
11.5,-5.5
8.5,-9.0
19.5,-90.0
10.0,-85.0
3.0,-72.0
9.0,-69.0
5.5,-71.5
6.0,-70.5
16.5,-90.0
14.5,-92.0
8.5,-10.0
8.5,-63.0
-27.5,124.0
-17.0,-71.0
-29.0,122.5
7.5,-70.0
29.0,-10.0
10.0,-72.5
8.0,-67.0
10.5,-67.0
-30.0,151.0
8.5,-66.5
8.5,-9.5
12.5,-87.0
-29.5,123.0
8.0,-9.0
3.5,-72.0
7.5,-64.0
-36.5,-72.5
9.5,-69.5
22.5,-80.5
-16.0,-72.5
2.5,-72.0
24.5,-107.5
7.5,-63.5
23.0,-98.5
-15.5,-72.5
10.0,-68.0
-19.5,126.5
9.5,-67.5
1.5,-72.0
14.5,106.5
13.5,-88.5
10.0,-9.5
6.5,-69.5
4.5,-66.5
12.5,106.0
10.5,-68.0
2.0,-74.0
10.5,-85.5
4.5,-68.5
10.0,-69.5
3.5,30.0
4.5,-72.5
3.0,-74.5
17.0,-100.0
9.5,-67.0
3.0,-74.0
-16.5,-40.0
29.0,-81.5
2.0,-72.5
5.5,-72.0
9.0,-8.5
5.0,-72.0
7.0,19.5
-26.5,121.0
3.5,-74.5
27.0,-81.0
4.0,-60.5
5.5,19.0
17.0,-90.0
2.0,-73.0
11.5,-86.0
9.5,-63.5
4.0,33.0
5.5,20.0
-43.5,-188.5
6.0,13.5
29.0,-82.0
3.5,-60.5
13.5,106.0
8.0,-7.5
9.5,-8.5
9.5,-10.0
24.0,-107.5
6.0,-72.5
9.0,-65.5
-38.0,-73.5
8.5,-67.5
14.0,105.5
14.0,107.0
6.5,-68.5
8.5,-68.5
-21.0,-61.0
9.5,-9.0
9.5,-70.0
-21.5,121.5
3.5,-75.5
14.5,-91.0
8.5,29.5
9.5,-69.0
9.0,-9.5
10.5,-68.5
45.5,61.5
9.0,-64.5
-30.5,124.0
-30.5,120.0
10.0,-65.0
6.0,-67.5
10.5,-66.5
16.5,-92.0
26.5,-81.0
-44.5,-190.0
8.0,-8.0
4.5,17.0
7.0,-72.5
4.0,-74.0
43.0,-0.5
9.0,-8.0
-15.5,-73.0
8.0,-6.5
6.5,19.5
14.0,-90.5
9.0,-65.0
8.5,20.5
9.0,-66.5
9.5,-72.0
26.0,94.5
6.5,-68.0
45.0,29.5
25.0,93.5
2.0,-61.0
6.5,18.5
68.0,72.5
14.0,-91.0
15.0,106.5
-38.0,-72.5
18.0,-91.0
-29.0,123.0
8.0,-69.0
2.0,32.0
6.0,19.5
6.5,-72.0
6.5,36.0
19.0,-88.5
10.5,-72.5
6.5,-73.0
6.0,36.0
12.0,-9.0
27.0,-80.5
6.0,-63.0
15.0,-86.0
7.5,31.0
5.5,-74.5
1.5,101.5
2.5,22.5
