lat [deg],lon [deg]
-31.5,123.5
-30.0,151.5
-41.5,-73.0
-3.5,-42.0
-2.5,-53.5
-4.5,-43.5
-5.0,-43.5
-32.0,123.0
-30.0,-64.0
-16.0,-41.0
-29.5,152.5
-31.0,152.5
-4.0,-42.0
-30.0,152.5
-22.5,-70.5
-31.5,124.0
-29.0,151.5
26.5,-80.5
-14.0,132.0
-4.5,-42.0
-10.0,35.0
-1.5,29.0
-16.0,125.5
-27.5,129.0
-31.5,152.0
-3.0,114.0
-1.5,-48.0
-3.5,-44.0
-12.0,-44.5
-5.5,-39.5
-4.5,-51.0
-17.5,122.5
-13.0,136.5
-4.0,-46.5
-31.0,123.5
-14.5,-67.5
-5.0,-45.5
-2.5,-49.0
-3.0,-45.5
38.0,-98.0
38.5,-112.0
14.0,-13.5
-8.0,-39.5
-29.0,152.5
-2.5,-53.0
-25.5,129.0
-20.0,44.5
-7.0,-40.5
-30.5,152.0
-1.5,-46.0
13.5,-10.0
-4.0,-44.0
-4.5,-40.5
-4.5,-46.0
-17.0,-44.0
-20.0,33.0
26.5,-81.0
-24.0,148.5
-3.0,-46.0
-13.0,136.0
-3.0,-44.0
-3.5,-43.5
-10.0,-36.0
-6.5,-40.0
14.0,13.5
-3.5,-45.5
-4.5,-40.0
-23.0,150.5
-4.5,-45.5
-3.5,112.5
12.0,-12.5
-4.0,-43.0
-3.0,-43.0
46.0,47.5
-5.5,-40.0
-29.5,152.0
2.0,-51.0
-4.5,-44.0
-31.0,152.0
-4.0,-44.5
-4.0,-46.0
-6.0,-39.5
-7.5,-35.0
-21.0,-195.5
-12.5,131.5
-5.0,-44.0
-4.5,-44.5
-16.0,125.0
-3.5,-42.5
-6.5,-39.0
37.0,-97.0
-5.0,-41.0
14.0,-12.5
-1.5,-47.0
-5.5,-49.5
13.5,-8.5
-29.0,153.0
-7.5,-38.0
-6.5,-39.5
-3.5,-49.0
-12.5,-43.0
-2.5,110.5
-9.5,-36.0
-5.0,-39.0
-3.5,-46.0
-11.5,-44.0
-2.5,-46.0
-16.0,144.0
-32.0,152.5
-2.0,-45.5
-4.0,-42.5
-3.5,112.0
-3.0,-42.5
-4.0,-45.5
-11.0,-45.0
30.0,-90.5
-14.0,131.5
-9.0,-36.0
-10.0,-44.5
-7.5,-41.0
-5.0,-50.0
-4.0,-47.0
-5.0,-43.0
-2.0,-50.5
31.0,-92.5
-4.0,106.0
-4.5,-42.5
39.5,-122.0
14.0,-13.0
-23.0,44.0
-2.0,-45.0
-5.5,123.0
-20.5,148.5
8.5,21.0
-11.5,39.5
-11.0,-44.5
34.0,-94.5
-14.5,-45.0
-15.5,27.5
-4.5,-46.5
-7.0,-35.0
-21.0,44.0
-2.0,-46.5
29.5,76.5
-16.5,-41.5
-7.0,-42.5
-15.5,144.0
31.0,-92.0
-9.5,28.0
-9.5,-35.5
12.5,-11.0
-3.0,-41.5
-19.0,44.5
1.5,-56.0
36.0,-98.0
31.0,-93.0
-19.0,48.0
-4.0,-40.5
-8.0,-38.5
-30.0,153.0
14.0,-91.0
-28.5,152.5
-7.5,-39.5
-1.0,101.5
-8.5,-74.5
12.5,35.0
-3.0,-46.5
32.0,116.0
-3.0,104.0
-7.0,-39.5
-13.5,30.0
-16.0,-39.5
-3.5,-46.5
-27.5,128.5
1.5,-51.0
-2.5,-54.0
-3.0,-42.0
-5.0,105.5
-6.5,-42.0
-5.0,-37.0
12.5,-11.5
-11.5,36.0
31.0,47.5
-7.0,-40.0
11.5,34.5
30.5,-84.5
12.0,20.5
-3.5,-40.5
-2.0,-47.0
33.0,-115.5
-5.0,-40.5
32.0,-85.0
-8.5,-55.0
-15.5,-40.0
-6.0,-42.5
-10.5,-42.5
-18.0,-42.0
-13.5,131.5
18.0,-93.0
-6.0,-41.0
-0.5,-49.5
-2.5,105.5
10.0,30.0
-3.5,-41.0
-3.0,-43.5
-7.5,-42.0
-10.0,-36.5
30.5,-91.0
-18.0,-40.5
-33.5,-66.5
3.5,-51.5
-6.0,-41.5
14.5,-7.0
-15.5,-41.0
-4.5,-41.0
-32.0,152.0
-31.0,124.0
-4.0,-43.5
-1.5,-47.5
-3.5,-41.5
-6.0,-43.0
-14.0,-67.0
49.5,-121.0
10.5,30.5
-4.0,105.5
31.5,-85.5
-15.5,129.0
-5.0,-44.5
-2.5,-45.5
-2.5,-45.0
12.0,-11.5
-15.5,127.0
-15.0,-40.5
-3.5,-43.0
-27.0,128.5
-2.0,-46.0
-1.5,-46.5
32.5,-93.5
-10.0,31.0
-3.0,110.5
-5.5,-41.0
-7.0,-39.0
-31.0,153.0
-2.0,-44.5
-5.0,-49.5
-16.5,39.5
-1.5,-45.5
15.5,100.0
-11.5,30.5
-19.5,-40.0
-4.0,-50.0
-7.5,-40.5
-4.5,-43.0
-20.5,44.0
-5.0,106.0
10.5,29.0
-1.5,-79.5
-28.0,152.5
2.5,-51.0
-4.0,-52.0
-17.5,-43.0
-5.5,-46.5
-17.5,-42.0
-22.5,43.5
9.0,25.5
-2.0,104.0
-31.5,152.5
-2.0,-54.0
-4.0,-45.0
26.5,115.5
-15.5,131.0
-5.5,-46.0
-20.5,47.5
-1.0,-47.5
-0.5,-47.5
-5.5,-45.5
-2.5,-49.5
-1.0,-54.0
-21.5,44.0
-5.0,-42.5
-2.5,-46.5
-1.0,-49.0
-4.5,-50.5
-16.0,-43.5
14.0,-9.0
11.5,32.5
-3.0,-48.5
-7.5,-39.0
-15.5,-48.0
31.0,-95.5
-19.5,35.5
-6.0,-40.5
-4.5,-41.5
-5.5,-40.5
-4.0,-40.0
-3.0,-41.0
-1.0,-47.0
-6.0,-38.0
-1.5,-80.0
12.5,14.0
-18.0,-44.0
-3.0,-54.5
-1.5,-55.0
-2.0,-51.0
30.0,75.5
3.5,-76.5
-4.5,-39.5
10.5,33.5
-2.0,-54.5
39.5,53.0
28.5,49.5
-12.5,-45.0
48.5,134.5
-6.0,-40.0
30.0,-92.0
10.5,30.0
9.0,26.0
-3.0,105.5
10.0,31.0
-13.0,-43.5
-14.0,28.0
12.5,35.5
-3.0,-45.0
-31.5,153.0
32.0,-94.5
-3.5,105.5
-6.0,-44.5
-29.5,151.5
-14.0,-66.5
-2.0,-48.0
49.5,-119.5
-13.5,-43.0
-2.0,-48.5
30.5,75.5
30.0,76.0
-2.5,-43.5
-5.5,-43.5
-2.0,-47.5
-20.0,47.5
-3.5,-44.5
60.5,96.0
1.0,-50.5
60.5,96.5
-20.0,-41.0
31.0,48.0
-16.0,-40.5
-2.5,-47.0
-10.5,-46.0
-19.0,146.0
30.5,75.0
-19.5,-42.5
10.0,25.5
66.0,71.0
-19.5,48.0
-17.5,-41.5
-18.5,124.0
-3.0,105.0
68.5,83.5
-12.0,133.5
30.0,75.0
-7.5,-73.0
-3.0,-40.5
-3.5,105.0
-1.5,-55.5
-28.5,128.0
-8.5,-35.0
-27.0,152.5
-2.0,-80.5
-13.5,130.5
68.5,80.0
28.5,10.0
-5.0,-45.0
-12.5,-44.0
-9.0,-35.5
-3.5,106.0
-19.0,-43.0
-2.5,-48.5
-24.5,149.0
5.5,-54.0
35.5,44.0
-26.5,152.0
-6.5,-46.5
31.0,48.5
31.5,47.5
-16.5,145.0
35.0,45.0
30.5,47.5
-2.5,-47.5
-14.0,-69.0
61.5,113.0
