lat [deg],lon [deg]
-38.0,-62.0
2.5,-74.0
1.5,-74.5
2.5,-73.0
-38.0,-72.5
36.5,-93.0
23.0,-80.5
-13.5,-43.0
-45.0,-66.0
0.5,-75.0
1.5,-75.0
2.0,-72.5
3.5,-71.5
13.5,-16.0
13.5,-15.5
2.0,-73.0
4.5,-72.0
16.5,-93.0
14.0,-90.5
2.0,-60.5
2.5,-74.5
26.5,-98.0
14.0,-89.0
8.0,-69.5
2.0,-73.5
2.5,-73.5
3.0,-74.0
-40.0,-62.5
-27.5,-55.5
-44.5,-66.0
23.0,-82.0
23.0,-99.0
1.0,-75.0
41.0,-122.0
9.5,-9.0
3.0,-71.5
-38.5,-62.5
11.0,-10.0
6.5,-69.5
9.0,-12.0
8.5,-67.0
3.0,-74.5
6.0,-69.0
-29.5,-57.0
2.0,-74.0
2.5,-72.0
6.5,-69.0
1.0,-74.5
29.0,-81.5
2.5,-75.0
-22.5,-61.0
21.5,-78.5
19.5,-101.5
29.5,-104.0
26.5,-80.5
-38.0,-63.0
28.5,-99.0
7.0,-70.0
10.0,-13.0
10.0,-73.5
3.0,-72.0
5.5,-69.0
6.5,30.5
14.5,-6.5
-29.5,-62.0
28.5,-96.5
8.5,-6.5
2.0,-74.5
3.5,-72.0
1.0,-60.0
7.5,39.5
11.0,-11.5
13.5,-88.5
9.0,-8.5
-13.5,-43.5
5.5,-72.0
10.0,-9.0
20.0,-76.0
6.0,-72.0
10.0,-9.5
22.5,-81.0
8.5,-8.0
-30.0,150.0
6.5,-67.5
-38.5,-72.5
20.5,-77.0
-30.5,-58.0
0.5,-74.5
3.5,-72.5
13.5,-87.5
30.0,-83.0
42.0,-120.0
3.0,-73.5
1.5,-74.0
2.5,-72.5
14.0,-91.0
8.5,-9.0
12.0,-11.0
-22.5,-60.5
6.5,35.5
3.5,-70.5
-29.0,-58.5
8.5,-69.0
38.0,-120.0
13.0,-12.5
10.5,-72.5
35.5,-119.5
-38.5,-60.5
6.0,18.0
8.0,-80.5
8.0,33.5
10.0,-72.5
-30.5,-52.5
13.5,-89.5
10.0,-8.5
-32.0,-54.5
13.5,-88.0
1.5,-75.5
-28.0,-56.0
7.5,-69.0
4.5,-69.5
-35.0,-58.5
16.5,-99.5
6.0,31.0
-25.5,-54.0
1.0,-59.5
42.0,-121.5
10.5,-85.5
9.5,-64.0
8.0,-69.0
9.5,-9.5
0.5,-75.5
-30.5,-60.0
-34.0,-54.5
5.0,-70.0
2.0,32.0
4.5,-71.0
8.5,32.5
27.0,-82.0
6.0,35.5
6.0,-69.5
-26.0,-56.5
1.5,-72.0
2.0,-61.0
21.5,-98.5
8.0,39.5
8.0,-9.5
9.5,-8.5
10.5,-12.5
13.5,-87.0
10.0,-10.0
9.5,-10.0
12.5,-11.0
27.0,-81.5
16.5,-97.5
8.5,30.5
1.0,-60.5
31.5,-82.0
13.0,-7.5
9.0,-70.0
8.5,-68.5
22.5,-99.0
28.0,-81.0
30.5,-100.0
3.0,-73.0
9.0,-8.0
8.5,33.5
37.5,-121.0
8.5,-10.0
27.5,-82.0
12.0,-15.5
12.5,-14.5
22.0,-105.0
4.0,-72.0
3.0,31.5
0.5,-60.5
9.0,-68.5
-35.5,-60.5
-26.0,-58.0
-23.5,-60.0
14.5,-89.5
5.0,-69.0
5.5,-72.5
9.5,-73.5
8.0,34.0
10.5,-8.0
0.5,-59.5
22.0,-98.0
13.0,-87.5
14.5,-91.5
5.5,11.0
-6.0,38.5
3.0,-60.0
8.5,-9.5
-23.5,-59.0
24.5,-107.5
5.5,30.5
26.5,-81.5
24.5,106.5
5.5,32.0
-13.0,-49.0
-33.0,150.5
11.5,-11.5
8.0,30.0
9.5,36.5
-26.0,-59.5
6.5,28.0
6.5,27.5
8.5,-10.5
0.5,-74.0
8.5,-68.0
16.5,-98.5
8.5,-12.0
12.5,-9.0
9.5,-12.5
11.5,-14.5
12.5,-87.0
24.0,-98.0
22.0,-98.5
9.5,-63.5
9.5,-10.5
10.0,-68.5
8.0,5.0
8.5,-7.5
-14.5,-44.0
13.0,-15.0
6.0,31.5
13.5,-89.0
9.0,-10.0
4.5,-71.5
1.0,33.0
30.0,-92.5
17.5,-99.0
7.0,-68.5
13.0,-16.0
22.5,-99.5
40.5,-119.5
10.0,-11.0
-11.5,-45.5
5.5,32.5
30.0,-84.5
-29.0,-57.0
11.5,-15.0
-29.0,-61.5
9.5,37.0
13.0,-10.0
13.0,123.5
13.5,123.5
14.5,-91.0
40.0,-118.5
8.0,-8.5
3.0,-72.5
11.0,-73.0
20.5,-104.0
13.0,-13.5
26.0,115.0
-33.0,-60.5
-33.5,-59.0
5.0,-72.0
13.0,-13.0
16.5,-94.0
13.0,-15.5
-23.5,-52.5
9.5,-12.0
10.0,35.5
5.5,31.0
24.0,93.0
9.0,-69.0
-21.0,117.5
11.0,-16.0
12.5,-13.5
5.0,-71.0
14.0,-87.0
6.0,-67.5
35.5,-96.0
13.0,-16.5
3.5,-59.5
14.0,-87.5
7.5,-67.0
1.5,-61.0
23.0,-81.5
13.0,-14.5
9.5,-75.0
10.0,36.0
-37.0,-63.5
5.0,-71.5
17.5,-98.5
5.0,-68.0
11.5,-11.0
5.5,18.5
18.5,-88.5
10.5,-10.0
9.0,32.0
