lat [deg],lon [deg]
-0.6771,-51.1104
-0.6813,-51.1188
-0.6938,-51.1313
-0.6938,-51.1438
-0.7063,-51.1521
-0.7229,-51.1688
-0.7479,-51.1938
-0.7646,-51.1979
-0.7938,-51.2146
-0.8229,-51.2271
-0.8854,-51.2354
-0.9354,-51.2438
-0.9729,-51.2479
-1.0021,-51.2563
-1.0188,-51.2688
-1.0271,-51.2771
-1.0438,-51.2938
-1.0479,-51.2979
-1.0771,-51.3271
-1.0854,-51.3354
-1.1104,-51.3604
-1.1271,-51.3771
-1.1521,-51.3979
-1.1646,-51.4063
-1.1813,-51.4146
-1.1938,-51.4271
-1.2688,-51.5021
-1.2729,-51.5063
-1.2771,-51.5104
-1.2896,-51.5229
-1.3188,-51.5563
-1.3354,-51.5813
-1.3479,-51.6021
-1.3479,-51.6063
-1.3604,-51.6188
-1.3771,-51.6354
-1.3979,-51.6563
-1.4146,-51.6729
-1.4146,-51.6771
-1.4313,-51.6979
-1.4396,-51.7104
-1.4479,-51.7229
-1.4521,-51.7354
-1.4604,-51.7479
-1.4896,-51.7813
-1.4938,-51.8646
-1.4854,-51.9104
-1.4771,-51.9188
-1.4604,-51.9354
-1.4479,-51.9479
-1.4521,-52.0354
-1.4563,-52.0604
-1.4604,-52.0771
-1.4688,-52.2396
-1.4813,-52.2646
-1.4896,-52.2854
-1.4896,-52.2938
-1.4938,-52.3063
-1.5021,-52.3188
-1.5063,-52.3396
-1.5104,-52.3438
-1.5146,-52.3771
-1.5438,-52.4313
-1.5396,-52.4604
-1.5479,-52.4771
-1.5563,-52.5938
-1.5604,-52.6729
-1.5646,-52.7104
-1.5688,-52.7813
-1.5688,-52.8479
-1.5729,-52.8646
-1.5896,-52.8979
-1.6104,-52.9313
-1.6188,-52.9438
-1.6229,-52.9479
-1.6354,-52.9479
-1.6563,-52.9688
-1.6771,-52.9813
-1.7021,-53.0021
-1.7479,-53.0479
-1.7521,-53.1354
-1.7521,-53.1521
-1.7521,-53.1563
-1.7521,-53.2646
-1.7563,-53.2938
-1.7521,-53.3313
-1.7563,-53.3396
-1.7771,-53.3729
-1.7979,-53.4354
-1.8146,-53.4896
-1.8271,-53.5646
-1.8521,-53.6521
-1.8604,-53.7021
-1.8729,-53.7479
-1.8854,-53.7771
-1.8938,-53.7896
-1.8979,-53.7979
-1.9021,-53.8229
-1.9063,-53.8271
-1.9104,-53.8438
-1.9438,-53.8729
-1.9604,-53.9313
-1.9771,-53.9646
-2.0229,-54.0271
-2.1438,-54.0563
-2.2271,-54.0646
-2.2479,-54.0688
-2.2563,-54.0771
-2.2771,-54.0896
-2.3021,-54.0771
-2.3229,-54.0813
-2.3438,-54.0938
-2.3729,-54.1521
-2.3854,-54.1854
-2.3896,-54.2396
-2.4021,-54.3104
-2.4104,-54.3479
-2.4146,-54.3729
-2.4188,-54.3854
-2.4438,-54.4229
-2.4563,-54.4563
-2.4604,-54.4854
-2.4646,-54.5604
-2.4521,-54.6354
-2.4479,-54.6521
-2.4396,-54.6771
-2.4229,-54.6979
-2.4146,-54.7021
-2.3688,-54.7313
-2.2688,-54.7521
-2.2354,-54.7896
-2.2188,-54.8104
-2.1896,-54.8313
-2.1813,-54.8479
-2.1688,-54.8896
-2.1604,-54.8979
-2.1604,-55.0104
-2.1604,-55.0229
-2.1688,-55.0479
-2.1729,-55.0771
-2.1729,-55.0813
-2.1688,-55.1313
-2.1396,-55.2396
-2.1146,-55.3271
-2.0813,-55.3688
-2.0479,-55.4104
-2.0229,-55.4396
-1.9896,-55.4729
-1.9771,-55.4813
-1.9604,-55.4979
-1.9521,-55.5021
-1.9479,-55.5063
-1.9396,-55.5146
-1.9271,-55.5271
-1.9188,-55.5354
-1.9146,-55.5563
-1.9146,-55.6479
-1.9188,-55.6646
-1.9313,-55.6771
-1.9479,-55.6938
-1.9563,-55.7063
-1.9646,-55.7313
-1.9813,-55.7563
-1.9854,-55.7604
-1.9896,-55.8146
-1.9854,-55.8771
-1.9854,-55.8854
-2.0021,-55.9229
-2.0271,-55.9021
-2.0438,-55.9271
-2.0479,-55.9313
-2.0479,-55.9979
-2.0479,-56.0271
-2.0604,-56.0563
-2.0771,-56.0813
-2.0938,-56.0979
-2.1146,-56.1021
-2.1438,-56.1188
-2.1521,-56.1354
-2.1479,-56.1813
-2.1563,-56.1896
-2.1563,-56.1979
-2.1604,-56.2063
-2.1646,-56.2188
-2.1729,-56.2271
-2.1771,-56.2313
-2.1813,-56.2354
-2.2188,-56.2813
-2.2354,-56.3146
-2.2438,-56.3313
-2.2479,-56.3604
-2.2563,-56.3771
-2.2729,-56.3813
-2.3146,-56.4188
-2.3646,-56.4313
-2.3813,-56.4313
-2.4021,-56.4479
-2.4229,-56.4563
-2.4438,-56.4563
-2.4479,-56.4604
-2.4521,-56.4646
-2.4729,-56.4938
-2.5021,-56.5146
-2.5021,-56.5354
-2.5104,-56.5521
-2.5521,-56.6063
-2.5604,-56.6271
-2.5729,-56.6438
-2.5813,-56.6521
-2.5896,-56.6771
-2.5938,-56.6979
-2.5813,-56.7146
-2.5813,-56.7479
-2.5813,-56.7521
-2.5813,-56.7938
-2.5729,-56.8146
-2.5771,-56.8396
-2.5771,-56.8688
-2.5688,-56.8771
-2.5563,-56.9021
-2.5479,-56.9188
-2.5396,-56.9354
-2.5396,-56.9521
-2.5396,-56.9646
