lat [deg],lon [deg]
-29.9563,-64.7271
-27.9854,-58.8729
-27.3479,-55.9896
-25.9896,-54.6729
-20.6146,-58.0104
-19.9354,-49.9771
-12.0021,-64.9938
-12.0354,-43.3104
-8.0021,-58.3188
-8.0146,-52.7146
-9.4688,-38.0229
-6.0021,-64.3271
-4.1563,-70.0104
-5.6188,-64.0146
-4.8896,-60.0104
-4.0146,-59.3271
-4.0021,-55.6354
-4.0938,-49.6104
-5.2354,-47.9896
-3.4479,-72.0063
-3.3479,-68.0104
-2.4813,-66.0146
-3.7229,-64.0313
-3.8813,-62.0021
-3.3021,-60.0313
-2.8563,-58.0521
-2.0479,-56.0271
-2.0229,-54.0271
-2.0146,-52.2604
-2.8688,-51.9854
-2.1979,-49.4021
-3.2479,-42.0104
-0.7813,-72.0063
-1.7104,-66.0688
-0.3271,-64.0229
-1.3604,-62.0188
-1.9729,-61.2854
-1.9896,-55.4729
-1.4521,-52.0354
-0.6771,-51.1104
2.0312,-61.0438
6.2062,-68.0063
9.9896,-74.8021
10.9937,-74.7604
-33.9979,140.8979
-33.8271,142.0062
-28.4271,137.2062
-29.9729,146.0354
-27.9688,137.4104
-27.4271,140.0062
-26.3229,142.0562
-25.9313,138.8646
-21.9354,138.4646
-19.6646,147.5146
-20.9438,35.0479
-17.2479,11.7687
-16.5896,33.9979
-15.9896,33.4146
-6.0271,16.6021
-5.9896,12.8812
-5.0313,14.0229
-4.0021,17.0729
-3.9979,15.6646
-3.6854,16.0146
-3.6146,26.0021
-0.8354,10.0062
-0.2604,18.0146
0.0104,18.2146
1.9937,22.6896
1.9812,32.3354
3.9771,31.6812
3.3729,36.1437
2.0021,44.8437
5.7979,0.6479
5.9771,31.6437
4.0271,45.5187
6.0021,6.7187
6.3729,48.7271
11.5104,3.9729
18.7604,11.7312
18.5937,32.0104
23.9729,32.8812
25.9812,32.7854
27.4896,24.0396
26.2729,32.0062
29.9937,20.9229
13.6187,100.5562
14.0187,105.9062
16.5604,97.6562
17.9646,101.7354
20.7062,105.9937
20.3146,106.5312
22.1479,95.9979
25.9854,101.9812
25.9937,102.0979
24.0062,107.5271
26.2354,67.9687
26.0146,89.9896
29.5104,72.0229
29.3437,89.9854
28.6146,103.9812
29.7396,115.9979
30.0021,99.0437
30.2062,107.9896
31.0354,109.9937
32.0146,98.4312
35.4521,74.0146
35.9937,103.1979
34.9146,113.9771
37.4229,66.0771
36.9312,68.0396
37.8521,105.9687
37.7687,119.0896
39.9812,62.4396
38.7271,64.0104
39.9854,79.8562
41.9771,60.3187
40.7729,62.0271
40.2937,70.0396
40.0854,79.9937
40.8271,81.9354
40.1687,90.3854
40.5062,109.9896
43.9854,59.5396
44.9062,59.7146
45.9896,61.7771
45.4687,64.0271
45.7729,123.9979
45.9896,133.6771
46.3771,74.5812
47.7604,115.7812
46.0146,127.6812
47.9646,134.5687
48.1479,63.2979
49.6021,117.9479
48.0062,124.3354
49.5896,127.9979
49.0312,129.9729
48.2729,133.9937
49.9979,136.7896
51.9687,120.6771
52.2812,117.9896
53.4146,119.9771
53.4271,121.9354
53.4229,123.9896
52.5979,125.9937
52.0187,128.4479
53.1146,140.6854
25.9437,-97.1938
29.8062,-102.0354
29.6312,-96.0063
28.8854,-95.3854
29.7437,-90.0063
30.0104,-104.6896
30.0312,-90.4729
33.8479,-96.0063
33.5521,-94.0354
32.0271,-93.3604
32.0104,-91.0813
35.4604,-94.0146
34.3062,-92.0146
34.0146,-90.9979
35.4479,-89.9979
36.1479,-96.0229
37.9687,-90.0021
37.7937,-87.9938
38.0104,-110.1313
38.1021,-109.9896
39.1146,-96.0063
39.1562,-94.0188
38.0146,-90.0813
38.0021,-86.5188
38.0021,-85.9729
38.7812,-83.9896
40.8479,-100.0188
41.4896,-96.0188
41.8187,-82.0063
41.9937,-81.5979
43.9854,-116.9396
42.7646,-98.0188
42.0021,-96.2396
42.0021,-83.1479
43.6104,-78.0021
43.9854,-76.5771
45.9771,-122.8313
45.6187,-121.9938
45.8146,-119.9979
44.2812,-100.0146
44.3771,-92.0021
45.5437,-86.0021
45.7896,-84.0104
44.0229,-82.3021
44.2812,-76.0188
45.2979,-74.0688
45.9604,-73.2021
47.0146,-120.0063
46.0437,-118.9479
46.5896,-117.9229
47.5896,-108.1229
47.9854,-106.4146
47.5562,-102.0396
47.4146,-86.0188
46.0854,-84.0188
46.5812,-72.0188
46.8062,-71.1979
49.1562,-122.9688
49.1937,-121.9979
48.0521,-119.8938
48.0354,-106.0146
48.0146,-102.5854
49.9687,-98.1563
51.9854,-106.7313
51.3187,-80.4854
53.9896,-97.9521
56.4979,-100.0354
57.3771,-98.0146
21.9104,48.6771
21.3937,52.9937
22.7479,51.9604
22.6854,52.0062
25.8896,36.6854
30.4646,47.9812
30.2854,62.0104
33.1687,43.9896
32.0271,44.4187
35.4979,39.9979
34.0146,44.3646
39.3687,49.3354
39.3604,55.3812
39.4396,56.1062
38.6771,58.0062
40.0187,48.7687
43.7396,23.9854
43.8854,25.9979
42.2562,60.0187
45.1812,19.9771
45.2896,27.9937
45.3104,29.6687
45.6229,47.7187
47.2854,-1.9688
47.7521,17.9562
46.0229,18.6854
46.0062,20.0479
46.5479,32.4229
47.3854,34.0021
47.1021,39.3062
47.2229,40.0562
47.5771,42.0562
46.0229,47.7062
46.9521,51.7354
48.0271,17.2312
49.5229,31.9937
48.8729,33.9729
48.0271,35.1354
49.6062,41.9854
48.0146,42.9562
48.0271,46.1229
48.0396,51.6021
51.4729,29.9979
50.0062,31.4021
50.0187,45.4104
50.0271,51.3396
53.5521,14.6104
52.3937,20.0021
52.0521,29.2646
52.0062,47.3354
54.2812,18.9396
55.9854,43.0771
55.9562,47.9979
54.0021,48.8146
55.3687,50.0021
55.7312,52.0312
55.0104,56.0021
56.0021,47.9354
56.0312,51.3646
56.0104,53.7437
56.0187,54.0104
59.9187,30.2646
58.0187,55.6604
58.0187,56.0812
60.0021,31.2062
63.9771,41.7479
63.3229,42.0271
62.3896,44.0229
64.5187,40.5479
65.9979,52.4312
65.9854,56.8271
66.3146,56.2104
49.9979,82.5187
49.3521,84.0146
49.9937,105.6771
51.9729,77.0854
50.4771,80.0104
50.2187,82.0146
51.5646,94.0187
51.9896,107.4896
53.9979,67.6479
53.9896,74.9021
53.0396,76.0187
53.9437,81.2771
53.9854,91.5437
55.9854,65.6979
54.2104,67.9854
55.9896,69.4562
55.7146,73.9771
55.9729,74.6812
55.9979,92.8562
57.8604,67.9854
57.9646,83.2854
57.9479,93.1729
57.9979,94.1312
57.9854,102.6812
57.9854,108.5896
57.9896,113.4312
57.8229,114.0229
57.6479,116.0062
57.9979,131.1979
59.9812,79.0062
59.4187,80.0562
59.9771,90.6687
58.1187,94.0021
58.5187,96.0479
58.5937,109.9854
59.9104,113.5646
59.9896,119.0687
59.9646,121.2187
58.5604,129.9937
59.1812,131.9146
59.9771,133.8146
61.9479,89.2479
61.6062,90.0521
61.9937,92.4646
61.8562,94.0104
61.6271,96.0062
60.1937,113.9687
60.5896,115.9687
60.0312,117.3396
60.1937,119.9729
60.5729,123.9937
61.2437,127.9646
60.1021,133.9729
61.9771,135.5937
63.9479,87.5896
62.0146,91.4854
63.9896,103.0896
62.8687,111.9187
63.1854,113.9479
63.5687,119.9646
63.9771,125.9896
63.6812,128.0396
65.9896,65.9146
65.9562,82.2271
64.0229,98.2187
64.2021,100.0104
64.0687,102.0187
64.9229,173.9812
66.7937,82.0229
56.1354,-120.0104
57.9729,-111.3979
59.9771,-123.8021
61.9396,-163.1813
60.0271,-111.8938
62.0146,-160.0188
64.7396,-155.8771
65.0479,-153.9854
65.6646,-149.9979
65.9771,-144.1938
65.5854,-143.9938
65.2687,-141.9854
64.2979,-139.8896
65.5937,-127.9771
67.5729,-133.9646
-0.6938,-51.1313
-0.6938,-51.1438
-0.7063,-51.1521
-0.7229,-51.1688
-0.7479,-51.1938
-0.7646,-51.1979
-0.7938,-51.2146
-0.8229,-51.2271
-0.8854,-51.2354
-0.9354,-51.2438
-0.9729,-51.2479
-1.0021,-51.2563
-1.0188,-51.2688
-1.0271,-51.2771
-1.0438,-51.2938
-1.0479,-51.2979
-1.0771,-51.3271
-1.0854,-51.3354
-1.1104,-51.3604
-1.1271,-51.3771
-1.1521,-51.3979
-1.1646,-51.4063
-1.1813,-51.4146
-1.1938,-51.4271
-1.2688,-51.5021
-1.2729,-51.5063
-1.2771,-51.5104
-1.2896,-51.5229
-1.3188,-51.5563
-1.3354,-51.5813
-1.3479,-51.6021
-1.3479,-51.6063
-1.3604,-51.6188
-1.3771,-51.6354
-1.3979,-51.6563
-1.4146,-51.6729
-1.4146,-51.6771
-1.4313,-51.6979
-1.4396,-51.7104
-1.4479,-51.7229
-1.4521,-51.7354
-1.4604,-51.7479
-1.4896,-51.7813
-1.4938,-51.8646
-1.4854,-51.9104
-1.4771,-51.9188
-1.4604,-51.9354
-1.4479,-51.9479
-1.4563,-52.0604
-1.4604,-52.0771
-1.4688,-52.2396
-1.4813,-52.2646
-1.4896,-52.2854
-1.4896,-52.2938
-1.4938,-52.3063
-1.5021,-52.3188
-1.5063,-52.3396
-1.5104,-52.3438
-1.5146,-52.3771
-1.5438,-52.4313
-1.5396,-52.4604
-1.5479,-52.4771
-1.5563,-52.5938
-1.5604,-52.6729
-1.5646,-52.7104
-1.5688,-52.7813
-1.5688,-52.8479
-1.5729,-52.8646
-1.5896,-52.8979
-1.6104,-52.9313
-1.6188,-52.9438
-1.6229,-52.9479
-1.6354,-52.9479
-1.6563,-52.9688
-1.6771,-52.9813
-1.7021,-53.0021
-1.7479,-53.0479
-1.7521,-53.1354
-1.7521,-53.1521
-1.7521,-53.1563
-1.7521,-53.2646
-1.7563,-53.2938
-1.7521,-53.3313
-1.7563,-53.3396
-1.7771,-53.3729
-1.7979,-53.4354
-1.8146,-53.4896
-1.8271,-53.5646
-1.8521,-53.6521
-1.8604,-53.7021
-1.8729,-53.7479
-1.8854,-53.7771
-1.8938,-53.7896
-1.8979,-53.7979
-1.9021,-53.8229
-1.9063,-53.8271
-1.9104,-53.8438
-1.9438,-53.8729
-1.9604,-53.9313
-1.9771,-53.9646
-2.1438,-54.0563
-2.2271,-54.0646
-2.2479,-54.0688
-2.2563,-54.0771
-2.2771,-54.0896
-2.3021,-54.0771
-2.3229,-54.0813
-2.3438,-54.0938
-2.3729,-54.1521
-2.3854,-54.1854
-2.3896,-54.2396
-2.4021,-54.3104
-2.4104,-54.3479
-2.4146,-54.3729
-2.4188,-54.3854
-2.4438,-54.4229
-2.4563,-54.4563
-2.4604,-54.4854
-2.4646,-54.5604
-2.4521,-54.6354
-2.4479,-54.6521
-2.4396,-54.6771
-2.4229,-54.6979
-2.4146,-54.7021
-2.3688,-54.7313
-2.2688,-54.7521
-2.2354,-54.7896
-2.2188,-54.8104
-2.1896,-54.8313
-2.1813,-54.8479
-2.1688,-54.8896
-2.1604,-54.8979
-2.1604,-55.0104
-2.1604,-55.0229
-2.1688,-55.0479
-2.1729,-55.0771
-2.1729,-55.0813
-2.1688,-55.1313
-2.1396,-55.2396
-2.1146,-55.3271
-2.0813,-55.3688
-2.0479,-55.4104
-2.0229,-55.4396
-1.9771,-55.4813
-1.9604,-55.4979
-1.9521,-55.5021
-1.9479,-55.5063
-1.9396,-55.5146
-1.9271,-55.5271
-1.9188,-55.5354
-1.9146,-55.5563
-1.9146,-55.6479
-1.9188,-55.6646
-1.9313,-55.6771
-1.9479,-55.6938
-1.9563,-55.7063
-1.9646,-55.7313
-1.9813,-55.7563
-1.9854,-55.7604
-1.9896,-55.8146
-1.9854,-55.8771
-1.9854,-55.8854
-2.0021,-55.9229
-2.0271,-55.9021
-2.0438,-55.9271
-2.0479,-55.9313
-2.0479,-55.9979
-2.0604,-56.0563
-2.0771,-56.0813
-2.0938,-56.0979
-2.1146,-56.1021
-2.1438,-56.1188
-2.1521,-56.1354
-2.1479,-56.1813
-2.1563,-56.1896
-2.1563,-56.1979
-2.1604,-56.2063
-2.1646,-56.2188
-2.1729,-56.2271
-2.1771,-56.2313
-2.1813,-56.2354
-2.2188,-56.2813
-2.2354,-56.3146
-2.2438,-56.3313
-2.2479,-56.3604
-2.2563,-56.3771
-2.2729,-56.3813
-2.3146,-56.4188
-2.3646,-56.4313
-2.3813,-56.4313
-2.4021,-56.4479
-2.4229,-56.4563
-2.4438,-56.4563
-2.4479,-56.4604
-2.4521,-56.4646
-2.4729,-56.4938
-2.5021,-56.5146
-2.5021,-56.5354
-2.5104,-56.5521
-2.5521,-56.6063
-2.5604,-56.6271
-2.5729,-56.6438
-2.5813,-56.6521
-2.5896,-56.6771
-2.5938,-56.6979
-2.5813,-56.7146
-2.5813,-56.7479
-2.5813,-56.7521
-2.5813,-56.7938
-2.5729,-56.8146
-2.5771,-56.8396
-2.5771,-56.8688
-2.5688,-56.8771
-2.5563,-56.9021
-2.5479,-56.9188
-2.5396,-56.9354
-2.5396,-56.9521
-2.5396,-56.9646
-2.5396,-56.9771
-2.5396,-56.9813
-2.5396,-56.9979
-2.5396,-57.0063
-2.5396,-57.0521
-2.5313,-57.0688
-2.5604,-57.0813
-2.5813,-57.0979
-2.6063,-57.1188
-2.6188,-57.1313
-2.6229,-57.1479
-2.6229,-57.1688
-2.6229,-57.2229
-2.5938,-57.2521
-2.5771,-57.2438
-2.5604,-57.2563
-2.5479,-57.2563
-2.5354,-57.2604
-2.5271,-57.2688
-2.5229,-57.2729
-2.5146,-57.2813
-2.5063,-57.2938
-2.4938,-57.3063
-2.4479,-57.3521
-2.4396,-57.3604
-2.4188,-57.3813
-2.3896,-57.4146
-2.3854,-57.4313
-2.3854,-57.4854
-2.3854,-57.4896
-2.3938,-57.5229
-2.3979,-57.5354
-2.4063,-57.5521
-2.4229,-57.5688
-2.4604,-57.5813
-2.4979,-57.6063
-2.5146,-57.6146
-2.5521,-57.6354
-2.5896,-57.6563
-2.6146,-57.6771
-2.6354,-57.6938
-2.6604,-57.7146
-2.6813,-57.7354
-2.7021,-57.7563
-2.7313,-57.7854
-2.7521,-57.8229
-2.7729,-57.8521
-2.7896,-57.8729
-2.8188,-57.9063
-2.8271,-57.9188
-2.8271,-57.9313
-2.8396,-57.9896
-2.8771,-58.0813
-2.8938,-58.0938
-2.9271,-58.0979
-2.9479,-58.1063
-2.9729,-58.1271
-2.9813,-58.1354
-3.0021,-58.1563
-3.0146,-58.1688
-3.0354,-58.1896
-3.0521,-58.2104
-3.0729,-58.2354
-3.0854,-58.2563
-3.1104,-58.3063
-3.1229,-58.3396
-3.1438,-58.3604
-3.1563,-58.3729
-3.1563,-58.3771
-3.1563,-58.3896
-3.1563,-58.4229
-3.1563,-58.4479
-3.1604,-58.4771
-3.1729,-58.4938
-3.2396,-58.5646
-3.2479,-58.5729
-3.2729,-58.5896
-3.3063,-58.6063
-6.0688,12.4854
-6.0521,12.5187
-6.0146,12.6062
-6.0313,12.7396
-6.0188,12.8146
-6.0188,12.8437
-6.0063,12.8562
-6.0021,12.8646
-5.9771,12.9062
-5.9063,12.9687
-5.8854,13.0021
-5.8688,13.0146
-5.8646,13.0229
-5.8688,13.0687
-5.8729,13.0812
-5.8938,13.1062
-5.8938,13.1396
-5.8813,13.1562
-5.8729,13.1771
-5.8729,13.1854
-5.8688,13.2021
-5.8688,13.2687
-5.8896,13.3104
-5.9021,13.3396
-5.9063,13.3604
-5.8896,13.3687
-5.8688,13.3937
-5.8438,13.4271
-5.8021,13.4646
-5.8021,13.4729
-5.7938,13.4979
-5.7521,13.5271
-5.7313,13.5396
-5.7146,13.5562
-5.7021,13.5854
-5.6896,13.5896
-5.6604,13.5896
-5.6313,13.5937
-5.6104,13.5896
-5.5813,13.5854
-5.5604,13.5604
-5.5438,13.5896
-5.5354,13.6562
-5.5229,13.6479
-5.4813,13.6104
-5.4646,13.6062
-5.4063,13.5479
-5.3854,13.5437
-5.3688,13.5479
-5.3521,13.5604
-5.3479,13.5687
-5.3188,13.5979
-5.3104,13.6104
-5.2938,13.6312
-5.2979,13.6729
-5.3271,13.7146
-5.3313,13.7187
-5.3229,13.7271
-5.2979,13.7312
-5.2729,13.7521
-5.2688,13.7771
-5.2938,13.7979
-5.3229,13.8271
-5.3063,13.8646
-5.2854,13.8687
-5.2563,13.8729
-5.2438,13.8771
-5.2313,13.8854
-5.2354,13.9146
-5.2354,13.9312
-5.2271,13.9437
-5.2229,13.9562
-5.1896,13.9687
-5.1813,13.9729
-5.1646,13.9854
-5.1354,13.9937
-5.0688,13.9854
-5.0521,13.9979
-5.0354,14.0562
-5.0313,14.0687
-5.0229,14.0854
-5.0188,14.0896
-5.0104,14.1021
-5.0021,14.1104
-4.9771,14.1354
-4.9729,14.1354
-4.9396,14.1687
-4.9313,14.1854
-4.9271,14.2021
-4.9229,14.2437
-4.9354,14.2646
-4.9354,14.2771
-4.9271,14.2937
-4.9229,14.3354
-4.9188,14.3479
-4.9104,14.3729
-4.8979,14.4104
-4.8771,14.4354
-4.8729,14.4437
-4.8521,14.4687
-4.8438,14.4937
-4.8563,14.5146
-4.8646,14.5396
