lat [deg],lon [deg]
-35.9188,-66.6271
-30.8438,-62.2521
-31.9771,-60.6854
-31.1979,-59.9771
-31.6563,-57.9979
-29.4021,-62.0146
-29.9938,-57.3396
-27.3479,-55.9896
-20.0271,-49.2979
-14.0104,-43.6563
-12.5271,-63.9688
-10.0021,-58.2396
-10.0479,-48.3479
-10.4646,-36.4063
-9.8271,-73.9938
-8.8438,-64.0021
-8.0021,-58.3188
-8.0146,-52.7146
-9.4688,-38.0229
-6.1771,-68.0063
-7.6813,-66.0021
-6.2396,-62.0188
-6.0063,-61.6813
-6.0063,-52.6021
-6.6688,-51.9896
-6.0229,-48.3396
-4.0021,-73.1604
-4.1563,-70.0104
-4.0021,-69.4354
-4.0021,-66.4438
-5.6188,-64.0146
-4.0021,-62.8688
-4.8896,-60.0104
-4.0021,-55.6354
-4.0938,-49.6104
-5.2354,-47.9896
-3.9979,-70.1688
-3.3479,-68.0104
-2.4813,-66.0146
-3.7229,-64.0313
-3.8813,-62.0021
-2.0479,-56.0271
-2.0229,-54.0271
-2.0146,-52.2604
-2.8688,-51.9854
-2.1979,-49.4021
-3.2479,-42.0104
-2.8063,-41.8396
-0.7813,-72.0063
-1.4771,-70.0021
-1.6396,-68.0146
-1.7104,-66.0688
-0.3271,-64.0229
-1.3604,-62.0188
-1.9729,-61.2854
-1.9896,-55.4729
-1.4521,-52.0354
-0.6771,-51.1104
0.0062,-67.2313
0.0062,-61.8063
3.9979,-67.7854
2.0312,-61.0438
7.9771,-73.8646
6.4479,-58.5938
9.9896,-74.8021
8.0229,-64.1646
8.5354,-62.0271
-29.9729,146.0354
-27.9688,137.4104
-19.6646,147.5146
-28.8729,22.0396
-25.1313,33.5062
-22.0688,24.0062
-20.9396,25.9521
-20.9438,35.0479
-18.4354,21.9896
-19.9646,23.4562
-18.7646,36.2521
-17.2479,11.7687
-17.1521,12.0396
-16.5896,33.9979
-15.6729,27.9646
-15.6604,31.9646
-15.9896,33.4146
-15.9896,34.7896
-6.0688,12.4854
-6.0271,20.5812
-6.0021,26.9104
-5.9896,12.8812
-5.0313,14.0229
-4.0021,17.0729
-4.0104,19.5187
-4.2604,20.0146
-4.0104,25.9771
-4.0979,26.0021
-5.1813,30.0521
-3.9979,15.6646
-3.3854,18.0187
-2.0104,25.7396
-1.0063,8.9187
-0.8354,10.0062
-1.9938,16.3771
-0.2604,18.0146
-0.0479,33.1979
-0.2521,42.6229
0.0104,17.7479
0.0104,18.2146
1.9229,20.0521
1.9812,32.3354
0.7521,41.9937
0.0187,42.6729
1.5062,44.0104
3.5521,9.6604
2.0021,18.0812
2.1771,22.0229
3.9771,31.6812
3.6187,32.0146
3.3729,36.1437
2.0146,42.3104
2.0021,44.8437
5.7979,0.6479
4.0146,42.4146
4.0271,45.5187
5.9937,48.4729
7.7604,-0.0104
6.0021,6.7187
7.9396,8.0229
7.9771,33.0354
6.0187,43.1396
6.3729,48.7271
8.0146,6.7771
8.3646,10.0354
10.0312,4.5854
10.1229,36.0104
13.1396,13.9812
16.9729,17.8812
18.7604,11.7312
18.5937,32.0104
25.9812,32.7854
27.9937,30.8521
26.2729,32.0062
29.9771,31.2312
9.8562,105.9979
15.7979,80.8562
16.5604,97.6562
17.9729,103.0229
18.1229,101.9896
20.3146,106.5312
22.4021,113.2562
24.6687,87.9937
25.9854,101.9812
25.9937,102.0979
26.0104,68.2021
29.5104,72.0229
30.0479,70.8104
31.1896,117.9979
31.9396,120.2354
32.0146,98.4312
32.0062,119.9854
35.9896,100.7146
34.6354,109.9937
35.9687,115.9646
35.9729,116.0437
37.4229,66.0771
37.9812,106.1229
37.7687,119.0896
39.9812,62.4396
38.7271,64.0104
39.6771,89.9771
39.9729,90.4229
41.9771,60.3187
41.9979,68.1771
40.2937,70.0396
