lat [deg],lon [deg]
53.5,-106.5
36.0,-115.0
35.5,-115.5
53.0,-106.0
12.0,-13.5
11.5,-14.0
45.5,-96.5
47.5,-116.0
46.5,-96.5
54.5,-108.5
50.5,-121.0
11.0,-14.0
-20.5,-51.5
-18.0,-46.0
46.0,-118.5
46.0,-97.5
48.0,-96.0
36.0,-120.0
54.0,68.0
53.0,-111.0
46.5,-99.0
11.5,-13.5
12.0,-15.0
46.0,-116.5
36.5,-120.0
47.5,-116.5
14.0,-4.5
48.0,-97.0
52.0,-116.0
54.0,55.0
49.5,-99.5
47.0,-96.0
-34.0,149.5
15.0,-4.5
10.5,-13.5
-14.0,-58.5
24.0,-104.5
-23.0,-52.0
31.0,48.5
11.5,-14.5
11.0,-14.5
19.5,-90.5
17.0,-90.0
46.0,-119.0
-6.5,-44.5
27.5,-80.5
47.5,-98.0
19.5,-105.0
-21.0,-60.0
31.0,-95.0
-18.5,-49.5
16.5,-98.5
49.5,-98.5
18.0,-88.5
17.5,-88.5
51.5,-100.0
-23.5,121.5
17.5,-89.0
15.5,-85.0
15.5,-91.0
21.0,102.0
47.5,-97.5
52.5,-108.5
-13.0,132.0
25.0,-106.0
15.5,-92.0
-23.0,-52.5
32.5,-115.5
-17.5,-61.0
36.5,-120.5
-7.0,-44.5
17.0,-88.5
21.0,-104.0
18.5,-91.0
-21.5,-49.0
-21.0,-50.0
53.5,-103.5
28.5,-111.5
12.0,-12.0
-20.5,-59.0
47.0,-99.0
48.5,-99.0
49.5,-100.0
18.5,-88.5
-17.5,-62.0
55.0,62.0
21.5,-105.0
27.0,-110.0
52.5,-106.0
49.0,-116.0
17.0,-99.0
50.0,-98.5
10.5,-14.5
54.0,-112.0
18.5,-89.0
20.5,101.5
14.5,-13.0
14.5,-85.5
28.0,-80.5
17.0,-89.0
47.0,-95.5
-12.0,-49.0
55.5,67.0
-23.5,-52.5
18.0,-93.0
30.5,48.5
-17.0,-62.0
18.0,-88.0
-17.5,138.5
48.5,-98.5
-12.5,132.0
18.5,-102.5
19.0,-91.0
-17.0,-52.0
21.0,-105.0
11.5,-16.5
17.0,-95.5
20.5,-104.0
16.0,-92.0
-16.0,-58.5
10.0,-14.0
49.0,-97.0
28.5,-108.5
45.0,-99.0
31.0,-94.0
47.0,-115.0
46.0,-122.5
28.0,-16.0
21.0,-104.5
28.0,-109.5
10.0,-13.5
18.5,-102.0
42.0,-122.5
19.0,-96.0
-14.0,129.5
50.5,-120.5
25.0,-107.0
-22.0,123.0
28.0,-16.5
16.5,-94.0
28.5,-111.0
11.5,-15.5
-29.0,115.0
10.5,-63.5
-8.5,24.0
18.0,-90.5
-15.5,128.5
25.5,-107.5
46.0,-97.0
51.0,-101.0
12.0,-14.0
51.0,-99.5
21.5,-89.5
-14.0,-56.5
47.5,-112.0
-33.5,149.5
17.5,-101.0
