lat [deg],lon [deg]
38.0,-75.5
39.0,-76.5
39.0,-76.0
38.5,-76.0
38.5,-75.0
39.5,-76.0
18.5,-73.0
37.5,-76.0
32.5,-115.5
34.5,-118.5
39.5,-75.5
38.0,-75.0
37.5,-76.5
38.0,-76.5
37.0,-76.5
33.0,-112.5
40.0,-75.0
35.0,-118.5
18.0,-72.5
-9.0,24.5
-11.5,-76.0
40.0,-75.5
18.0,-74.0
42.0,-74.0
36.0,-115.0
-7.0,17.0
30.5,-83.0
-19.0,-59.0
-9.0,24.0
-8.5,-62.5
-10.0,18.5
18.5,-78.0
-0.5,109.5
28.0,-15.5
-9.5,-59.5
-14.5,21.0
-16.5,-63.5
36.5,8.5
-8.0,-63.0
62.5,105.5
55.5,107.0
-8.5,17.5
-21.5,-44.5
-14.5,17.5
45.0,47.5
-9.0,-50.5
69.5,140.5
-8.0,-55.5
-35.5,-64.0
-15.0,16.5
34.5,-118.0
-9.0,25.0
37.0,-89.5
42.0,-76.0
-27.5,-62.5
-7.0,-39.5
-13.5,27.0
-22.5,-49.0
63.5,106.0
-10.0,25.0
-8.5,17.0
0.5,112.0
-10.0,-60.0
-10.5,-64.0
-9.5,-60.5
-15.5,20.0
-15.5,-56.0
-9.0,-59.5
-8.5,-74.0
51.5,52.0
-8.0,-54.5
10.0,-73.0
-11.5,17.5
62.0,103.5
-6.5,-55.0
-8.5,-66.5
-5.0,-60.0
-8.0,17.5
-10.0,-60.5
-7.5,-61.0
9.5,-63.5
-16.0,18.0
38.5,-114.0
52.0,74.5
-9.5,-55.0
35.5,-120.0
-27.5,-62.0
-9.5,-57.0
-9.0,-57.0
-22.0,-51.0
-11.5,37.5
-13.0,18.0
60.0,116.0
-14.0,-72.0
10.0,-70.5
-3.5,16.5
-8.0,-61.5
-7.0,28.5
-6.0,-52.5
-13.5,-51.0
-11.0,22.0
-12.5,-74.0
37.5,-77.0
13.0,-87.0
63.5,102.5
-4.5,17.0
56.5,105.5
63.0,106.0
-3.5,11.5
-9.5,30.0
-12.0,29.0
-13.0,-66.5
0.5,109.0
-5.5,-49.0
-16.5,142.0
56.5,109.5
60.5,99.5
57.0,110.0
-5.5,20.0
-3.5,18.5
-9.5,-63.0
-21.0,-48.0
-4.5,13.5
58.5,103.5
52.0,64.5
-22.5,-48.5
51.5,-125.0
-25.5,-62.0
-2.5,10.0
55.5,107.5
62.5,104.5
60.0,118.0
0.5,111.5
-3.5,14.5
-7.5,26.5
64.0,108.0
-11.0,28.5
-6.5,-39.0
-8.5,24.5
-10.0,-64.0
10.5,-70.5
43.0,-115.0
-10.0,-55.5
49.5,81.0
23.0,-80.5
-6.0,14.0
-6.5,-63.0
-21.0,44.0
7.0,-74.5
58.5,115.0
-27.5,-65.5
-3.0,11.5
0.0,110.0
-10.0,-68.5
-8.5,-63.0
56.5,106.0
38.5,-80.0
-4.0,14.0
-12.5,30.5
-34.5,-66.0
-7.5,-39.5
-27.0,-63.0
-9.0,17.0
-7.5,-60.5
63.0,108.5
-14.5,21.5
62.5,105.0
-7.5,-55.5
-8.5,-75.0
8.5,-73.0
8.5,-74.0
-9.0,-66.0
-13.5,-58.5
-12.0,17.5
-8.5,-70.0
-11.5,22.5
-17.5,-40.0
-13.0,-51.0
8.0,-73.0
-8.0,-55.0
37.0,-120.0
