lat [deg],lon [deg]
-30.8438,-62.2521
-31.9771,-60.6854
-31.6563,-57.9979
-29.4021,-62.0146
-29.9896,-60.7229
-29.9938,-57.3396
-28.4979,-55.9688
-26.0813,-57.9813
-27.3479,-55.9896
-25.7188,-60.0188
-25.9688,-57.8771
-22.0396,-58.0021
-23.9813,-57.2063
-23.9813,-54.1313
-23.4979,-53.9896
-21.9854,-57.9646
-21.5104,-51.9938
-19.1854,-68.1271
-19.3188,-67.9979
-19.9938,-57.8646
-19.9813,-51.0146
-19.9354,-49.9771
-17.9896,-57.4479
-14.0188,-65.1021
-14.0104,-43.6563
-12.0021,-74.0354
-12.5271,-63.9688
-12.0063,-50.6854
-12.0313,-48.5229
-12.0354,-43.3104
-10.0563,-73.9771
-11.9854,-68.0271
-10.0021,-58.2396
-10.0104,-52.9188
-10.0063,-50.2979
-10.0479,-48.3479
-10.0313,-42.2396
-10.4646,-36.4063
-8.0271,-74.6938
-9.8271,-73.9938
-8.0146,-67.2438
-8.8438,-64.0021
-8.0146,-62.8813
-8.0021,-58.3188
-8.0146,-57.7938
-8.0146,-52.7146
-9.2521,-50.0021
-8.0063,-49.1729
-8.0479,-47.9479
-9.0563,-40.0104
-9.4688,-38.0229
-9.9979,-36.9646
-7.6813,-66.0021
-6.0063,-61.6813
-6.4146,-58.0021
-6.0021,-57.6438
-6.0063,-52.6021
-6.6688,-51.9896
-6.0229,-48.3396
-6.0063,-47.4438
-5.0438,-76.0104
-4.4896,-74.0021
-4.0021,-73.1604
-4.0021,-66.4438
-5.6188,-64.0146
-4.3146,-56.0063
-4.0021,-55.6354
-4.0021,-52.6021
-3.4479,-72.0063
-3.9979,-70.1688
-2.4813,-66.0146
-3.7229,-64.0313
-3.8813,-62.0021
-3.2479,-42.0104
-2.8063,-41.8396
-1.6396,-68.0146
-34.1563,140.0187
-34.1229,142.0104
-33.8271,142.0062
-30.0438,146.0146
-30.0063,148.0812
-28.4271,137.2062
-25.8688,142.3354
-23.4979,150.6812
-20.0063,147.2604
-19.6646,147.5146
-17.5396,140.7271
-28.6063,16.4604
-28.8354,18.0104
-28.4354,20.0062
-28.8312,24.0354
-27.9938,20.5187
-26.6479,22.0021
-27.9854,25.0937
-25.1313,33.5062
-22.0688,24.0062
-22.9396,27.9937
-22.2271,29.9937
-22.8771,31.9812
-20.2938,23.9937
-20.9396,25.9521
-20.9438,35.0479
-18.8521,16.1896
-18.4354,21.9896
-19.9646,23.4562
-18.0021,25.9729
-18.0104,26.8271
-18.2813,35.9604
-18.7646,36.2521
-17.8771,19.9687
-17.0021,23.9771
-17.9938,25.9896
