grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1246,49.9979,136.7896,high_flow_river,0,46995,0.0,"['VNIR', 'Altimeter']",f7c2099d-a6fc-4873-914e-88eb65deca85
1,1066,-4.0021,-52.6021,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",ef4ae66e-b4ca-46c9-bbf5-02179fa1ef2e
1,1208,-4.0021,-55.6354,high_flow_river,0,63317,100.0,"['VNIR', 'Altimeter']",c02680fc-de58-4bb3-af77-d100cdd3170f
1,1059,-6.0063,-47.4438,high_flow_river,0,20551,30.8,"['VNIR', 'Altimeter']",42e9b4f6-932b-4650-9a69-05880e52a320
2,131,9.5,-63.5,wildfire,31,23100,53.4,"['TIR', 'MIR', 'VNIR', 'SAR']",138020fe-1ca5-4803-ab48-4eba2ea42229
2,11,9.0,-63.0,wildfire,31,6000,53.1,"['TIR', 'MIR', 'VNIR', 'SAR']",c672d09f-cf28-4029-8a02-601d0d460e33
2,10,9.0,-68.0,wildfire,31,13200,62.0,"['TIR', 'MIR', 'VNIR', 'SAR']",206d7707-08f0-4e0b-aec1-f71ef8dfe559
2,145,-38.0,-73.5,wildfire,31,5100,53.8,"['TIR', 'MIR', 'VNIR', 'SAR']",c054a9cd-749c-4d8d-b560-a07648c65725
2,2,-37.5,-72.5,wildfire,31,85200,82.1,"['TIR', 'MIR', 'VNIR', 'SAR']",ecae0b3c-173c-453d-a3fb-3c92effead98
2,0,-37.5,-73.0,wildfire,37,34801,92.8,"['TIR', 'MIR', 'VNIR', 'SAR']",7c2d7c5f-36c0-467e-a959-cf8ed646c912
2,37,3.5,-72.5,wildfire,37,3294,55.7,"['TIR', 'MIR', 'VNIR', 'SAR']",9e67a06c-4ec9-44a0-adbc-3de6b1a322be
2,231,8.0,-80.5,wildfire,37,3294,51.3,"['TIR', 'MIR', 'VNIR', 'SAR']",23a215f7-24a3-48b1-811a-3d2a4940fcbd
