grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
2,36,-38.5,-62.5,wildfire,38,15000,64.2,"['TIR', 'MIR', 'VNIR', 'SAR']",ddaca112-6e32-41d1-82b6-cb586b9799a7
2,229,4.5,-71.5,wildfire,38,8700,37.4,"['TIR', 'MIR', 'VNIR', 'SAR']",bff1a331-c520-47c8-9382-661893e8f31c
2,503,15.0,-92.0,wildfire,38,12300,38.9,"['TIR', 'MIR', 'VNIR', 'SAR']",f20e9603-cefb-4d81-8386-8ba1514ebef8
2,502,12.5,-86.5,wildfire,38,7800,39.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c92973bf-ba47-40e0-918f-03fe274ee3e3
2,23,8.0,-69.5,wildfire,38,19500,66.8,"['TIR', 'MIR', 'VNIR', 'SAR']",93320832-6a41-493f-b9d1-65a14ce057f0
2,429,5.5,-70.0,wildfire,38,6900,37.8,"['TIR', 'MIR', 'VNIR', 'SAR']",940bf242-6ef0-44c3-b83d-3ae39a7dddb1
2,499,18.0,-100.5,wildfire,38,9600,39.3,"['TIR', 'MIR', 'VNIR', 'SAR']",2f7a9212-67b1-4c7b-9798-4867879c02b3
2,111,10.0,-72.5,wildfire,38,33000,58.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c0dabb34-665a-491c-b1f0-74bff9b3e81c
2,459,-38.5,-73.0,wildfire,38,2400,42.3,"['TIR', 'MIR', 'VNIR', 'SAR']",b69e5337-6c95-4ffc-8ea1-3e79b8c8c141
2,403,13.0,-87.0,wildfire,38,6900,42.4,"['TIR', 'MIR', 'VNIR', 'SAR']",1e9145f3-eae4-48b1-9421-6ba60ac6b3ad
2,357,14.5,-92.0,wildfire,38,3300,41.3,"['TIR', 'MIR', 'VNIR', 'SAR']",9f757d47-b814-443d-9bfd-946b2d18dbc2
2,304,22.5,-80.5,wildfire,38,4200,42.7,"['TIR', 'MIR', 'VNIR', 'SAR']",62690a15-75d3-472b-9819-9d7319f77bd3
2,72,13.5,-88.5,wildfire,38,18600,42.4,"['TIR', 'MIR', 'VNIR', 'SAR']",d66f62dc-f998-43c4-891f-f3922d00bd61
2,18,14.0,-90.5,wildfire,38,72600,67.5,"['TIR', 'MIR', 'VNIR', 'SAR']",1d105b15-66b9-4da7-bea2-01faf13a778d
2,3,2.5,-73.0,wildfire,38,8700,57.7,"['TIR', 'MIR', 'VNIR', 'SAR']",5073218e-911f-4857-a0db-d5dcbfaa38ad
2,109,8.0,-80.5,wildfire,38,2400,58.1,"['TIR', 'MIR', 'VNIR', 'SAR']",3459b725-eb5f-4662-ad85-8b3565e465db
2,297,14.0,-88.0,wildfire,38,85200,50.4,"['TIR', 'MIR', 'VNIR', 'SAR']",c7258376-1a9f-46e5-8236-7682fded07b9
2,94,2.5,-72.5,wildfire,38,4200,58.9,"['TIR', 'MIR', 'VNIR', 'SAR']",a1c26c79-4807-4b51-b756-a9dd5cf49c62
2,102,8.5,-69.0,wildfire,38,2400,58.2,"['TIR', 'MIR', 'VNIR', 'SAR']",0e67e55a-1fcd-4860-b466-d1c8eca06dd3
2,189,14.5,-91.5,wildfire,38,16800,53.1,"['TIR', 'MIR', 'VNIR', 'SAR']",ca589ff9-001f-47f1-8464-bde8dcd11ce7
2,314,8.5,-82.5,wildfire,38,30300,49.7,"['TIR', 'MIR', 'VNIR', 'SAR']",ccec3e0a-1e1a-4133-b63f-127c3e8544bf
2,487,10.5,-71.5,wildfire,38,42900,40.2,"['TIR', 'MIR', 'VNIR', 'SAR']",78197a7b-5639-469a-b299-d206f58ac4d1
2,20,2.5,-74.5,wildfire,38,5100,53.9,"['TIR', 'MIR', 'VNIR', 'SAR']",6e8c7369-b7df-4ece-a276-12934d92bc9a
2,0,-38.0,-62.0,wildfire,38,86100,80.7,"['TIR', 'MIR', 'VNIR', 'SAR']",d9828990-cbd4-486a-bed4-c01a5888883e
2,183,9.5,-73.5,wildfire,38,5100,43.5,"['TIR', 'MIR', 'VNIR', 'SAR']",f3432657-69ed-428a-b932-2d3cdebbff9a
2,119,7.5,-69.0,wildfire,38,7800,47.8,"['TIR', 'MIR', 'VNIR', 'SAR']",d52c9a00-8e15-4ff2-9827-c340a97ad35b
2,4,-38.0,-72.5,wildfire,38,23100,53.9,"['TIR', 'MIR', 'VNIR', 'SAR']",61765259-9175-4661-99f7-d27e19825f2a
2,179,-23.5,-60.0,wildfire,38,9600,44.2,"['TIR', 'MIR', 'VNIR', 'SAR']",fe7069c5-02d4-4324-89eb-63d7c266555f
2,51,21.5,-78.5,wildfire,938,3300,61.6,"['TIR', 'MIR', 'VNIR', 'SAR']",a9537e7a-de78-4d00-ba65-c088aa252b16
2,258,5.0,-72.0,wildfire,938,14100,41.6,"['TIR', 'MIR', 'VNIR', 'SAR']",3a1b79a0-631e-4428-ac31-e3c04e33e319
2,397,-29.5,-62.5,wildfire,938,9600,43.6,"['TIR', 'MIR', 'VNIR', 'SAR']",1edfe154-06ed-4332-8330-762abab7d513
2,116,13.5,-88.0,wildfire,938,4200,38.4,"['TIR', 'MIR', 'VNIR', 'SAR']",b42c3756-8794-4dd4-b25d-2347b2e4e91a
2,164,3.0,-73.0,wildfire,938,8700,35.4,"['TIR', 'MIR', 'VNIR', 'SAR']",5f394099-f700-4416-9e30-996bd880bea1
2,367,12.0,-86.0,wildfire,938,22200,38.9,"['TIR', 'MIR', 'VNIR', 'SAR']",3ad15eac-9321-41bb-9833-30cceab363a7
2,113,13.5,-89.5,wildfire,938,24900,57.9,"['TIR', 'MIR', 'VNIR', 'SAR']",399066c2-99aa-4d51-837b-29d2a09a431a
2,106,35.5,-119.5,wildfire,1838,6000,58.3,"['TIR', 'MIR', 'VNIR', 'SAR']",d796d669-da36-443e-9047-4cac01446ceb
2,400,4.5,-72.5,wildfire,1838,3300,45.0,"['TIR', 'MIR', 'VNIR', 'SAR']",232b0019-8c84-4ec9-b3eb-f472f89d51ef
2,481,-20.0,-40.0,wildfire,1838,3300,40.7,"['TIR', 'MIR', 'VNIR', 'SAR']",3cf1e0b0-2482-4a91-badb-06d25137d5f0
2,280,23.0,-81.5,wildfire,1838,2400,50.9,"['TIR', 'MIR', 'VNIR', 'SAR']",efc4b818-6db6-4cab-ba54-5793ec4f3e35
2,252,11.0,-73.0,wildfire,1838,4200,51.7,"['TIR', 'MIR', 'VNIR', 'SAR']",e6cd0d7c-06d5-4dfc-8663-72d43b331638
