grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1085,-28.8729,22.0396,high_flow_river,0,10188,4.8,"['VNIR', 'Altimeter']",591aa31d-0fee-4afa-997c-42ed8e444a90
1,311,-5.9896,12.8812,high_flow_river,0,53612,91.9,"['VNIR', 'Altimeter']",2004434f-20bf-42ce-815e-5fd63be39c46
1,2023,-33.9813,-66.8063,high_flow_river,377,86023,77.1,"['VNIR', 'Altimeter']",a2b4f894-3041-421f-b5bb-aaef391e5ee3
1,1761,18.0062,80.8021,high_flow_river,453,85947,2.3,"['VNIR', 'Altimeter']",b330a440-21ac-40e3-aecb-1392ebc4e884
1,1700,4.4021,6.0562,high_flow_river,513,85887,80.0,"['VNIR', 'Altimeter']",28bf5537-d135-401c-958a-3f4d54540a36
1,2027,-4.0063,22.0979,high_flow_river,4629,81771,74.9,"['VNIR', 'Altimeter']",29107217-89dd-456b-91e9-8e093c0d9fd0
1,2056,73.7854,87.1437,high_flow_river,4994,16844,0.2,"['VNIR', 'Altimeter']",8b900a59-ac9c-4de9-980a-55c318a41587
1,1613,40.5062,109.9896,high_flow_river,12339,74061,11.9,"['VNIR', 'Altimeter']",ffbc7667-4ead-43ba-b83e-a7c168c0d093
1,1012,-21.5104,-51.9938,high_flow_river,12558,39537,97.6,"['VNIR', 'Altimeter']",43fbc9dc-32a2-43d7-b8d2-b8a5d6ed5606
1,1373,46.0146,127.6812,high_flow_river,15752,70648,25.3,"['VNIR', 'Altimeter']",9ed37ad6-4c01-403f-a176-47b00f75cd4e
1,1266,-20.0271,-49.2979,high_flow_river,17872,68528,48.0,"['VNIR', 'Altimeter']",0c6e805c-9343-47b6-a07f-ce2b50e50271
1,1116,-13.9896,34.9937,high_flow_river,20020,66380,27.4,"['VNIR', 'Altimeter']",09357196-a691-4dcd-bfaa-29e4815c4a1b
1,1311,2.0021,18.0812,high_flow_river,20275,50348,15.9,"['VNIR', 'Altimeter']",ee070e88-4cc9-49ba-8cac-47f9c674157a
1,1977,12.2771,106.0062,high_flow_river,22936,63464,100.0,"['VNIR', 'Altimeter']",9e0476d0-3061-46da-93ef-f3cb6a70096f
1,1319,5.9937,48.4729,high_flow_river,23180,63220,2.0,"['VNIR', 'Altimeter']",4ce1213f-2674-47c6-b9af-2aae3204cd55
1,1370,45.7729,123.9979,high_flow_river,24807,30918,27.6,"['VNIR', 'Altimeter']",ded5f243-4764-4603-96fe-b3f21cd282e6
1,1059,-6.0063,-47.4438,high_flow_river,28705,15665,16.2,"['VNIR', 'Altimeter']",4b6be427-3439-4b66-ba8d-d8a7870d8639
1,1226,-12.0146,28.7646,high_flow_river,32966,53434,80.0,"['VNIR', 'Altimeter']",17f2c82c-628e-4995-96f0-b2dd67a23d97
1,1170,46.0854,-84.0188,high_flow_river,35286,51114,30.7,"['VNIR', 'Altimeter']",31173a96-dcc4-44ea-9f90-f4e2372b9418
1,2028,-3.9646,22.0229,high_flow_river,41530,44870,50.8,"['VNIR', 'Altimeter']",2dc73726-cfd9-447e-8267-b865eed568aa
1,1065,-4.3146,-56.0063,high_flow_river,42386,12877,4.3,"['VNIR', 'Altimeter']",7874bd85-3a94-4d9b-b28f-3246182c516b
