grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1232,1.9937,22.6896,high_flow_river,32627,33528,62.5,"['VNIR', 'Altimeter']",e7979511-fd94-4ff7-b9a3-49e9ca92e3cb
1,1505,55.7146,73.9771,high_flow_river,32658,24247,2.7,"['VNIR', 'Altimeter']",a75e67f6-c64d-456c-83c1-b5763e7c4cea
1,1658,53.9854,91.5437,high_flow_river,33531,52869,9.5,"['VNIR', 'Altimeter']",4352d1d9-af45-4272-8742-71166e7ac4a5
1,1599,26.0146,89.9896,high_flow_river,34552,51848,12.3,"['VNIR', 'Altimeter']",45089c74-4ec4-463b-8a93-7e41690105a2
1,1260,42.2562,60.0187,high_flow_river,35519,37775,6.8,"['VNIR', 'Altimeter']",649888fc-9838-49fa-b67a-456bcb17550c
1,1639,21.3937,52.9937,high_flow_river,36074,50326,19.3,"['VNIR', 'Altimeter']",7883e819-df9b-4d9a-b955-1357fc9ff175
1,1669,62.8687,111.9187,high_flow_river,37206,15528,5.0,"['VNIR', 'Altimeter']",50a4df3a-08b0-4e1e-825c-d8ee3c96b8b8
1,1663,57.6479,116.0062,high_flow_river,41754,1920,1.2,"['VNIR', 'Altimeter']",634b3b02-5c41-4286-a28c-c7e894f837ff
1,1671,65.9896,65.9146,high_flow_river,43177,43223,27.6,"['VNIR', 'Altimeter']",69e4c36a-bcf4-4cf0-8486-16d2f80cb580
1,1648,56.0187,54.0104,high_flow_river,43402,42998,100.0,"['VNIR', 'Altimeter']",e7e29a43-da37-4153-a0b2-cee12f8808be
1,1638,21.9104,48.6771,high_flow_river,43426,42974,100.0,"['VNIR', 'Altimeter']",349edc98-cbd3-4fc3-a35d-32796df70350
1,1521,59.9812,79.0062,high_flow_river,44653,41747,50.1,"['VNIR', 'Altimeter']",ab5312fe-b33e-48ff-8ba1-83d6bf6cf969
1,1377,48.0062,124.3354,high_flow_river,44787,25739,100.0,"['VNIR', 'Altimeter']",dad9d0f5-5624-4dab-97e4-7a81647f1c9f
1,1676,66.7937,82.0229,high_flow_river,45466,40934,100.0,"['VNIR', 'Altimeter']",1f5a8a47-242d-4380-bb82-e633cd6082f5
1,1646,54.2812,18.9396,high_flow_river,48328,38072,95.9,"['VNIR', 'Altimeter']",e77a4c34-3b3b-4a99-b827-46324bd43368
1,1321,6.0021,6.7187,high_flow_river,49210,37190,36.7,"['VNIR', 'Altimeter']",ee6268c1-a829-4ca9-8f8d-8154baf28735
1,1359,40.8271,81.9354,high_flow_river,51576,34824,30.7,"['VNIR', 'Altimeter']",5d64a665-e2ed-4ca5-97c1-6f21963b29b5
1,1134,5.9771,31.6437,high_flow_river,54406,31994,100.0,"['VNIR', 'Altimeter']",0702e90d-255b-4c67-a8c8-88ec5afa00c8
1,1234,4.0271,45.5187,high_flow_river,55218,31182,18.2,"['VNIR', 'Altimeter']",0e0929cd-c159-425c-8707-bc1cdf7aba8b
1,1233,3.9771,31.6812,high_flow_river,55982,30418,100.0,"['VNIR', 'Altimeter']",92cf336b-04db-48f4-b5b5-97483de78ba6
1,1606,35.9937,103.1979,high_flow_river,57744,28656,0.9,"['VNIR', 'Altimeter']",db000a24-53ba-4ba8-bd03-4c76086af5fd
1,1683,65.5937,-127.9771,high_flow_river,58064,28336,5.2,"['VNIR', 'Altimeter']",0246132b-fa16-4b25-bc4b-b57acb6e6aa3
1,1541,61.9937,92.4646,high_flow_river,58484,27916,0.8,"['VNIR', 'Altimeter']",8067a664-f339-44df-92f6-4380d2e85198
1,1431,51.3187,-80.4854,high_flow_river,59460,26940,100.0,"['VNIR', 'Altimeter']",5169a28b-82f7-4c67-a410-ca460ebf3b15
1,1373,46.0146,127.6812,high_flow_river,59956,26444,37.4,"['VNIR', 'Altimeter']",ea6e875b-f799-4f60-9373-38df4b961e61
1,1054,-6.0021,-64.3271,high_flow_river,60216,26184,100.0,"['VNIR', 'Altimeter']",9121e278-0805-4c0a-bbaf-911335d53a52
1,1634,47.5896,-108.1229,high_flow_river,61064,10829,3.0,"['VNIR', 'Altimeter']",ca759e32-d9e4-4fad-83a5-524c1caea908
