grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
0,288,-6.9969,141.5053,algal_bloom,1570,84830,50.3,"['VNIR', 'TIR', 'Altimeter']",b21c6748-9379-407d-a443-a0d734efd3a5
0,80,29.2583,116.0087,algal_bloom,7103,79297,70.0,"['VNIR', 'TIR', 'Altimeter']",9b56ff80-778e-47d7-92b2-7b4ee3027e57
0,678,30.0329,116.354,algal_bloom,7103,79297,43.6,"['VNIR', 'TIR', 'Altimeter']",3d098d66-fac6-41e9-8ce1-1405bc29156f
0,231,31.5729,117.4489,algal_bloom,7103,79297,48.8,"['VNIR', 'TIR', 'Altimeter']",5114f0e9-a581-404f-8f68-bf519525e425
0,585,29.9717,116.2204,algal_bloom,7103,79297,63.8,"['VNIR', 'TIR', 'Altimeter']",e95a965b-f906-4362-9a56-611866ab4c86
0,411,29.5961,118.9622,algal_bloom,7103,79297,70.0,"['VNIR', 'TIR', 'Altimeter']",7561ea5f-c5da-43fb-a627-1052fce3b17e
0,82,31.2382,120.1412,algal_bloom,7103,79297,70.0,"['VNIR', 'TIR', 'Altimeter']",64047c96-7ba2-497d-8d1d-4eca9fa7d8fe
0,829,29.8557,113.3027,algal_bloom,9754,76646,67.9,"['VNIR', 'TIR', 'Altimeter']",dc5cc634-c073-4c88-b8d6-53336953bb29
0,584,30.2326,114.4892,algal_bloom,9754,76646,70.0,"['VNIR', 'TIR', 'Altimeter']",f445b2e5-5386-4d04-a5e2-d12b8ceed74e
0,6,53.6631,108.1884,algal_bloom,12816,73584,41.2,"['VNIR', 'TIR', 'Altimeter']",9f41c57b-b38b-45b0-80a0-0f2698c20a27
0,644,45.5948,99.096,algal_bloom,12816,73584,21.9,"['VNIR', 'TIR', 'Altimeter']",95f4e5e2-419e-411c-b09f-644d247176e6
0,119,49.1489,93.3703,algal_bloom,12816,73584,23.5,"['VNIR', 'TIR', 'Altimeter']",112ea95b-79c9-4e8d-9c52-f7ef665e2b1d
