grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
2,357,68.5,83.5,wildfire,420,85980,44.2,"['TIR', 'MIR', 'VNIR', 'SAR']",e6daa2b3-b79a-49ad-9316-830fb33e390f
2,369,68.5,80.0,wildfire,420,85980,43.4,"['TIR', 'MIR', 'VNIR', 'SAR']",5ae4c575-40b3-439d-90cf-d4c1b8c544e1
2,370,28.5,10.0,wildfire,1260,85140,43.3,"['TIR', 'MIR', 'VNIR', 'SAR']",c0bab4c3-9ca4-4c0f-941a-fa3e5e8502d7
2,186,12.0,20.5,wildfire,1560,84840,51.8,"['TIR', 'MIR', 'VNIR', 'SAR']",4762a500-a02d-4f7d-b8b8-9c24f344cae1
2,228,-2.5,-45.5,wildfire,2424,600,50.7,"['TIR', 'MIR', 'VNIR', 'SAR']",1b7cbc7c-d95e-45dc-b745-39d27d61dd69
2,352,66.0,71.0,wildfire,3420,82980,44.4,"['TIR', 'MIR', 'VNIR', 'SAR']",848ca586-10e5-4bb2-9d78-03722072ecb5
2,312,48.5,134.5,wildfire,8700,52260,46.6,"['TIR', 'MIR', 'VNIR', 'SAR']",d8047eb7-4ad4-4271-a0fb-59cd1f2828e9
2,266,-31.5,152.5,wildfire,10380,49200,49.0,"['TIR', 'MIR', 'VNIR', 'SAR']",0f8eb0ee-fd17-402a-a717-6d4937054003
2,323,-31.5,153.0,wildfire,10380,49200,46.2,"['TIR', 'MIR', 'VNIR', 'SAR']",f81ea43f-fb07-4df8-b46c-173b65bdd575
2,1,-30.0,151.5,wildfire,10380,76020,73.5,"['TIR', 'MIR', 'VNIR', 'SAR']",a2b4dff0-bb3d-44c4-a47c-0181d368a240
2,48,-30.5,152.0,wildfire,10380,49200,58.1,"['TIR', 'MIR', 'VNIR', 'SAR']",3fab631f-8a61-4b8a-9739-d6f86008b5cb
2,10,-29.5,152.5,wildfire,10380,49260,65.6,"['TIR', 'MIR', 'VNIR', 'SAR']",9dcb356f-a7b1-411c-a856-db88e580ee6f
2,24,-31.5,152.0,wildfire,10380,76020,61.8,"['TIR', 'MIR', 'VNIR', 'SAR']",57f118f4-ab03-4cce-a9b8-0886a3a6dd7d
2,108,-32.0,152.5,wildfire,10380,49200,55.0,"['TIR', 'MIR', 'VNIR', 'SAR']",717a71f0-574a-46a5-bf8f-78100d772dba
2,242,-31.0,153.0,wildfire,10380,46200,50.1,"['TIR', 'MIR', 'VNIR', 'SAR']",b073b345-e06b-453c-8bb1-03466ba7ca03
