grid index,GP index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,uuid
1,1085,-28.8729,22.0396,high_flow_river,0,10188,4.8,"['VNIR', 'Altimeter']",591aa31d-0fee-4afa-997c-42ed8e444a90
1,311,-5.9896,12.8812,high_flow_river,0,53612,91.9,"['VNIR', 'Altimeter']",2004434f-20bf-42ce-815e-5fd63be39c46
1,2023,-33.9813,-66.8063,high_flow_river,377,86023,77.1,"['VNIR', 'Altimeter']",a2b4f894-3041-421f-b5bb-aaef391e5ee3
1,1761,18.0062,80.8021,high_flow_river,453,85947,2.3,"['VNIR', 'Altimeter']",b330a440-21ac-40e3-aecb-1392ebc4e884
1,1700,4.4021,6.0562,high_flow_river,513,85887,80.0,"['VNIR', 'Altimeter']",28bf5537-d135-401c-958a-3f4d54540a36
0,965,-15.9707,136.9865,algal_bloom,1828,84572,26.7,"['VNIR', 'TIR', 'Altimeter']",df2d1fdc-adc2-4b1b-acad-e3dd8f4cf7d9
0,592,-17.4393,139.2973,algal_bloom,1828,84572,20.4,"['VNIR', 'TIR', 'Altimeter']",e386053b-0d7a-4a9d-881e-5756efe1edec
0,213,-17.7803,140.2988,algal_bloom,1828,84572,25.1,"['VNIR', 'TIR', 'Altimeter']",356c1f92-4159-4a7b-960f-40d1ba2826d3
0,580,53.4576,139.7147,algal_bloom,2941,83459,53.3,"['VNIR', 'TIR', 'Altimeter']",7131ff86-5989-4006-8b79-329ccb11b7dd
0,598,-22.0976,122.9932,algal_bloom,4201,82199,28.5,"['VNIR', 'TIR', 'Altimeter']",ae87f634-300e-4361-87ba-cb6e75eae410
0,819,-21.4001,124.6411,algal_bloom,4201,82199,26.7,"['VNIR', 'TIR', 'Altimeter']",2e9f1c64-7eea-4ea1-91f0-c84061f7a247
0,215,-16.3144,128.7809,algal_bloom,4201,82199,70.0,"['VNIR', 'TIR', 'Altimeter']",179a61ff-7049-4efe-bd8d-4b30752bf3f1
0,971,-23.4796,129.0001,algal_bloom,4201,82199,30.3,"['VNIR', 'TIR', 'Altimeter']",07530131-ffe9-4b6d-bf1f-85924bd20e0d
0,913,-22.3483,123.8354,algal_bloom,4201,82199,26.7,"['VNIR', 'TIR', 'Altimeter']",496fbbbb-15ca-4094-b09e-dbcf1677ed96
1,2027,-4.0063,22.0979,high_flow_river,4629,81771,74.9,"['VNIR', 'Altimeter']",29107217-89dd-456b-91e9-8e093c0d9fd0
1,2056,73.7854,87.1437,high_flow_river,4994,16844,0.2,"['VNIR', 'Altimeter']",8b900a59-ac9c-4de9-980a-55c318a41587
0,470,45.4924,117.5409,algal_bloom,6807,79593,19.0,"['VNIR', 'TIR', 'Altimeter']",720c665a-a332-4bb2-a84e-6b73c1d61a03
0,225,50.0697,115.809,algal_bloom,9180,77220,53.3,"['VNIR', 'TIR', 'Altimeter']",a60789cc-f75b-40ab-ad20-e1450ec03d5f
0,834,43.3028,116.6498,algal_bloom,9180,77220,32.1,"['VNIR', 'TIR', 'Altimeter']",26c3e190-db0a-4836-96db-ddd03e5b2b03
0,886,16.7811,103.6029,algal_bloom,9720,76680,46.1,"['VNIR', 'TIR', 'Altimeter']",06539e1c-d844-4b02-bd0a-2acd07100030
