grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
2,128,20.5,-102.0,wildfire,33,600,56.1,"['TIR', 'MIR', 'VNIR', 'SAR']",1a11b6ef-e6ea-4f7b-9f52-5715ac35ba78
2,75,47.5,-96.0,wildfire,633,1800,58.8,"['TIR', 'MIR', 'VNIR', 'SAR']",e1463689-c841-49e7-9e63-abbfbe27dece
2,346,31.5,6.0,wildfire,1620,84780,38.2,"['TIR', 'MIR', 'VNIR', 'SAR']",337b63a9-c67d-447d-bc69-06b7bfd02256
2,297,29.0,20.0,wildfire,1620,84780,48.5,"['TIR', 'MIR', 'VNIR', 'SAR']",78934901-247f-41c4-86d8-15ac3d4e1768
2,179,36.0,-99.5,wildfire,4233,600,53.2,"['TIR', 'MIR', 'VNIR', 'SAR']",873b4f4a-6881-40e6-ae17-03adfd364c4c
2,83,47.0,-97.0,wildfire,4833,600,58.3,"['TIR', 'MIR', 'VNIR', 'SAR']",e9a9ef27-a114-406c-ab0d-725d540f2e78
2,336,53.0,140.0,wildfire,6180,80220,42.2,"['TIR', 'MIR', 'VNIR', 'SAR']",5c0a4d94-cf78-40d4-b7e6-63205cbf4610
2,202,47.5,-97.0,wildfire,7833,600,52.4,"['TIR', 'MIR', 'VNIR', 'SAR']",1409cae3-3308-428f-a134-517050e3661c
2,27,48.5,139.5,wildfire,9060,49260,68.5,"['TIR', 'MIR', 'VNIR', 'SAR']",ae649721-2f71-482f-ac7f-82e3686f21b9
2,265,48.0,138.0,wildfire,9060,3600,50.7,"['TIR', 'MIR', 'VNIR', 'SAR']",ccba752e-b0b3-489f-9bb5-12df0c463d7d
2,298,48.5,136.0,wildfire,9120,52260,48.5,"['TIR', 'MIR', 'VNIR', 'SAR']",2c7303fa-a504-4775-8751-a26c32ce8167
2,238,51.5,140.0,wildfire,9120,49260,51.5,"['TIR', 'MIR', 'VNIR', 'SAR']",068122c8-e5d4-4e78-ab1e-2d0a0e20f667
2,341,-41.5,147.0,wildfire,10560,49260,41.4,"['TIR', 'MIR', 'VNIR', 'SAR']",838eeb9b-b7aa-4523-aab1-1e526155e33c
2,7,-41.5,148.0,wildfire,10560,49260,78.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c1c68847-cd0e-4fc5-be35-b22685feed38
2,246,-35.0,148.5,wildfire,10680,49260,51.3,"['TIR', 'MIR', 'VNIR', 'SAR']",66a2cc99-216a-4fbf-9411-a8f04da91c54
2,290,-36.0,148.0,wildfire,10680,49260,49.3,"['TIR', 'MIR', 'VNIR', 'SAR']",3f706a90-8f24-4b1e-8062-ea0c24f0a7c1
2,275,-37.0,149.0,wildfire,10680,49200,50.5,"['TIR', 'MIR', 'VNIR', 'SAR']",d90a9f42-38dd-4062-9537-2de6fd5d4735
2,331,-37.0,149.5,wildfire,10680,46200,43.8,"['TIR', 'MIR', 'VNIR', 'SAR']",1ee48bff-755a-430b-8ad7-4251a74cc3d0
2,187,-34.0,149.5,wildfire,10740,49200,52.9,"['TIR', 'MIR', 'VNIR', 'SAR']",556843bc-75b6-475c-9b25-66d7dc237f77
2,339,-33.5,149.0,wildfire,10740,49200,41.6,"['TIR', 'MIR', 'VNIR', 'SAR']",c35836c9-fbde-49f7-a5c3-bb2535af060a
2,101,50.0,140.0,wildfire,12120,46200,57.3,"['TIR', 'MIR', 'VNIR', 'SAR']",8d524fa3-9dcb-4d9c-a79e-42d01c3483ac
2,60,50.5,119.0,wildfire,12240,3600,60.6,"['TIR', 'MIR', 'VNIR', 'SAR']",28a984c3-faac-485a-9188-186d01dc2367
2,157,63.0,142.0,wildfire,12360,46200,54.5,"['TIR', 'MIR', 'VNIR', 'SAR']",5b39c896-3dba-48b5-9c4a-5b2ee8344a91
2,313,-41.5,146.0,wildfire,13620,49200,47.4,"['TIR', 'MIR', 'VNIR', 'SAR']",036eb610-559a-44b5-81f5-c71d61d116b2
2,288,-35.5,148.0,wildfire,13680,46260,49.3,"['TIR', 'MIR', 'VNIR', 'SAR']",b4159295-3c87-4af7-a5d6-423f5af0f8bd
2,293,-35.0,139.0,wildfire,13740,49200,48.7,"['TIR', 'MIR', 'VNIR', 'SAR']",5b8e943e-36cc-4b14-9e13-abe59b663758
2,345,-13.5,131.0,wildfire,14100,49200,40.5,"['TIR', 'MIR', 'VNIR', 'SAR']",facb83ef-086c-42ff-a9e7-231c2306d046
2,153,-13.5,133.5,wildfire,14100,49200,54.8,"['TIR', 'MIR', 'VNIR', 'SAR']",b19f806f-85f4-4132-95be-303de10f32ff
2,333,-13.5,132.5,wildfire,14100,49200,43.6,"['TIR', 'MIR', 'VNIR', 'SAR']",59eb050e-440a-48fe-8a9e-222a7b1df2ac
2,296,-13.5,131.5,wildfire,14100,49200,48.6,"['TIR', 'MIR', 'VNIR', 'SAR']",61e57bd3-d477-4b9c-96eb-3ea7e79373e9
2,114,-13.5,133.0,wildfire,14100,49200,56.7,"['TIR', 'MIR', 'VNIR', 'SAR']",2239d6bf-a0c9-4b56-94a9-7ef87d194a1a
2,338,-13.0,133.5,wildfire,14100,49200,42.0,"['TIR', 'MIR', 'VNIR', 'SAR']",d0a86701-7a0f-46cf-9b1e-896d5687f01e
2,317,-14.0,133.5,wildfire,14100,49200,46.3,"['TIR', 'MIR', 'VNIR', 'SAR']",f4f2a935-fd5a-4252-ab19-40ac67ef2759
2,95,-37.5,148.0,wildfire,16680,3600,57.4,"['TIR', 'MIR', 'VNIR', 'SAR']",97e49049-3125-40f8-8c37-ba845ad74222
2,310,-15.5,127.0,wildfire,17100,69300,47.7,"['TIR', 'MIR', 'VNIR', 'SAR']",a3dd481b-743a-45c7-9bee-ea28856c71b9
2,303,-15.0,130.0,wildfire,17100,46200,48.2,"['TIR', 'MIR', 'VNIR', 'SAR']",7273a656-f5f9-41dc-9971-71425d18825c
2,268,-14.0,133.0,wildfire,17100,46200,50.7,"['TIR', 'MIR', 'VNIR', 'SAR']",4b6b191c-7621-4b0c-bc6f-82e5f5aabe4e
2,59,-15.5,129.0,wildfire,17100,46200,60.7,"['TIR', 'MIR', 'VNIR', 'SAR']",f21d1168-9a41-4f57-94d0-3e1054f34b22
2,315,-17.5,122.5,wildfire,17100,49200,46.6,"['TIR', 'MIR', 'VNIR', 'SAR']",674375fa-9c2e-4281-a689-c3d4b5de3196
2,209,-17.5,123.5,wildfire,17100,46200,52.2,"['TIR', 'MIR', 'VNIR', 'SAR']",76c950fb-4f75-40d1-b64a-9a35771e4061
2,96,-16.5,123.0,wildfire,17100,46200,57.3,"['TIR', 'MIR', 'VNIR', 'SAR']",8ad4ad9d-2af3-4192-986e-d85aa2c37516
