Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_abridged,in_full,calcBoundsOpt
93,DP,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
94,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
95,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
96,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
97,DP,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
98,DP,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
99,DP,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
100,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
101,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
102,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
103,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
104,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
105,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
106,DP,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
107,DP,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
108,DP,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
109,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
110,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
111,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
112,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
113,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
114,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
115,DP,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
116,DP,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
117,DP,Greedy,GS,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
118,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
119,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
120,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
121,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
122,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
123,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
124,DP,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
125,DP,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
126,DP,Greedy,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
127,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
128,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
129,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
130,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
131,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
132,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
133,DP,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
134,DP,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
135,DP,Greedy,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
136,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
137,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
138,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
139,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
140,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
141,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
142,DP,None,GS,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
143,DP,None,GS,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
144,DP,None,GS,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
145,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
146,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
147,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
148,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
149,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
150,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
