Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_abridged,in_year_2019,calcBoundsOpt
24,Centralized-MILP_priority,None,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
25,Centralized-MILP_priority,None,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
26,Centralized-MILP_priority,None,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
27,Centralized-MILP_priority,None,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
28,Centralized-MILP_priority,None,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
29,Centralized-MILP_priority,None,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
30,Centralized-MILP_priority,None,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
31,Centralized-MILP_priority,None,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
32,Centralized-MILP_priority,None,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
33,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
34,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
35,Centralized-MILP_priority,None,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
36,Centralized-MILP_priority,None,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
37,Centralized-MILP_priority,None,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
38,Centralized-MILP_priority,None,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,0
39,Centralized-MILP_priority,None,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
40,Centralized-MILP_priority,None,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
41,Centralized-MILP_priority,None,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,0
42,DP,CBBA,GS,Co-observations,Ground,2019-02-15,False,True,True,0
43,DP,CBBA,GS,Co-observations,Onboard,2019-02-15,False,True,True,0
44,DP,CBBA,GS,Revisits,Ground,2019-02-15,False,True,True,0
45,DP,CBBA,GS,Revisits,Onboard,2019-02-15,False,True,True,0
46,DP,CBBA,GS,Urgency,Ground,2019-02-15,False,True,True,0
47,DP,CBBA,GS,Urgency,Onboard,2019-02-15,False,True,True,0
48,DP,CBBA,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
49,DP,CBBA,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
50,DP,CBBA,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
51,DP,CBBA,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
52,DP,CBBA,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
53,DP,CBBA,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
54,DP,CBBA,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
55,DP,CBBA,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
56,DP,CBBA,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
57,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
58,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
59,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
60,DP,CBBA,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
61,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
62,DP,CBBA,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,0
63,DP,CBBA,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
64,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
65,DP,CBBA,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,0
66,DP,Greedy,GS,Co-observations,Ground,2019-02-15,False,True,True,0
67,DP,Greedy,GS,Co-observations,Onboard,2019-02-15,False,True,True,0
68,DP,Greedy,GS,Revisits,Ground,2019-02-15,False,True,True,0
69,DP,Greedy,GS,Revisits,Onboard,2019-02-15,False,True,True,0
70,DP,Greedy,GS,Urgency,Ground,2019-02-15,False,True,True,0
71,DP,Greedy,GS,Urgency,Onboard,2019-02-15,False,True,True,0
72,DP,Greedy,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
73,DP,Greedy,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
74,DP,Greedy,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
75,DP,Greedy,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
76,DP,Greedy,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
77,DP,Greedy,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
78,DP,Greedy,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
79,DP,Greedy,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
80,DP,Greedy,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
81,DP,Greedy,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
82,DP,Greedy,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
83,DP,Greedy,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
84,DP,Greedy,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
85,DP,Greedy,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
86,DP,Greedy,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,0
87,DP,Greedy,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
88,DP,Greedy,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
89,DP,Greedy,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,0
90,DP,None,GS,Co-observations,Ground,2019-02-15,False,True,True,0
91,DP,None,GS,Co-observations,Onboard,2019-02-15,False,True,True,0
92,DP,None,GS,Revisits,Ground,2019-02-15,False,True,True,0
93,DP,None,GS,Revisits,Onboard,2019-02-15,False,True,True,0
94,DP,None,GS,Urgency,Ground,2019-02-15,False,True,True,0
95,DP,None,GS,Urgency,Onboard,2019-02-15,False,True,True,0
96,DP,None,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
97,DP,None,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
98,DP,None,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
99,DP,None,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
100,DP,None,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
101,DP,None,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
102,DP,None,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
103,DP,None,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
104,DP,None,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
105,DP,None,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
106,DP,None,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
107,DP,None,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
108,DP,None,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
109,DP,None,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
110,DP,None,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,0
111,DP,None,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
112,DP,None,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
113,DP,None,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,0
114,None,CBBA,GS,Co-observations,Ground,2019-02-15,False,True,True,0
115,None,CBBA,GS,Co-observations,Onboard,2019-02-15,False,True,True,0
116,None,CBBA,GS,Revisits,Ground,2019-02-15,False,True,True,0
117,None,CBBA,GS,Revisits,Onboard,2019-02-15,False,True,True,0
118,None,CBBA,GS,Urgency,Ground,2019-02-15,False,True,True,0
119,None,CBBA,GS,Urgency,Onboard,2019-02-15,False,True,True,0
120,None,CBBA,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
121,None,CBBA,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
122,None,CBBA,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
123,None,CBBA,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
