Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization
52,DP,CBBA,Interconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
53,DP,CBBA,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
54,DP,Greedy,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
55,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
56,None,CBBA,GS,Comprehensive,Onboard,Commercial,2019-02-15,True
57,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
58,None,CBBA,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
59,None,CBBA,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
60,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
61,None,CBBA,GS,water_quality,Onboard,Commercial,2019-02-15,True
62,None,CBBA,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
63,None,CBBA,GS,water_quality,Oracle,Commercial,2019-02-15,True
64,None,CBBA,Intraconstellation,water_quality,Oracle,Commercial,2019-02-15,True
65,None,CBBA,GS,water_quality,Oracle,Walker-Delta,2019-02-15,True
66,None,CBBA,Interconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
67,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
68,None,CBBA,Interconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
69,None,CBBA,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
70,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
71,None,CBBA,Interconstellation,water_quality,Onboard,Commercial,2019-02-15,True
72,None,CBBA,Interconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
73,None,CBBA,Interconstellation,water_quality,Oracle,Commercial,2019-02-15,True
74,None,CBBA,Intraconstellation,water_quality,Onboard,Commercial,2019-02-15,True
75,None,CBBA,Interconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
76,None,CBBA,Intraconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
77,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
78,None,CBBA,Intraconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
79,DP,None,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
80,None,Greedy,GS,Comprehensive,Onboard,Commercial,2019-02-15,True
81,DP,None,Intraconstellation,water_quality,Oracle,Commercial,2019-02-15,True
82,DP,None,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
83,DP,None,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
84,None,Greedy,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
85,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
86,DP,None,GS,water_quality,Onboard,Commercial,2019-02-15,True
87,DP,None,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
88,DP,None,GS,water_quality,Oracle,Commercial,2019-02-15,True
89,None,Greedy,GS,water_quality,Onboard,Commercial,2019-02-15,True
90,DP,None,GS,water_quality,Oracle,Walker-Delta,2019-02-15,True
91,DP,None,Interconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
92,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
93,DP,None,Interconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
94,DP,None,GS,Comprehensive,Onboard,Commercial,2019-02-15,True
95,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
96,DP,None,Interconstellation,water_quality,Onboard,Commercial,2019-02-15,True
97,DP,None,Interconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
98,DP,None,Interconstellation,water_quality,Oracle,Commercial,2019-02-15,True
99,None,Greedy,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
100,DP,None,Interconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
101,DP,None,Intraconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
102,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
103,DP,None,Intraconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
104,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
105,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
106,DP,None,Intraconstellation,water_quality,Onboard,Commercial,2019-02-15,True
107,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
108,DP,CBBA,GS,water_quality,Onboard,Commercial,2019-02-15,True
109,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
110,Centralized-MILP_priority,None,Interconstellation,water_quality,Oracle,Commercial,2019-02-15,True
111,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
112,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
113,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
114,None,Greedy,Intraconstellation,water_quality,Oracle,Commercial,2019-02-15,True
115,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Commercial,2019-02-15,True
116,Centralized-MILP_priority,None,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
117,Centralized-MILP_priority,None,Interconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
118,DP,CBBA,GS,Comprehensive,Onboard,Commercial,2019-02-15,True
119,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
120,None,Greedy,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
121,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
122,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
123,None,Greedy,Intraconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
124,None,Greedy,Intraconstellation,water_quality,Onboard,Commercial,2019-02-15,True
125,Centralized-MILP_priority,None,Intraconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
126,Centralized-MILP_priority,None,Intraconstellation,water_quality,Oracle,Commercial,2019-02-15,True
127,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-02-15,True
128,Centralized-MILP_priority,None,Interconstellation,water_quality,Oracle,Walker-Delta,2019-02-15,True
129,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-02-15,True
130,Centralized-MILP_priority,None,Intraconstellation,water_quality,Onboard,Commercial,2019-02-15,True
131,Centralized-MILP_priority,None,Interconstellation,water_quality,Onboard,Commercial,2019-02-15,True
132,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
133,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
