Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization,calculateDual
0,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
1,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
2,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
3,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
4,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
5,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
6,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
7,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
8,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
9,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
10,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
11,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
12,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
13,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
14,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
15,Centralized-MILP_priority,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
16,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
17,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
18,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
19,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
20,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
21,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
22,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
23,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
24,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
25,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
26,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
27,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
28,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
29,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
30,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
31,DP,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
32,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
33,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
34,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
35,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
36,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
37,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
38,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
39,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
40,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
41,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
42,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
43,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
44,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
