Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization
0,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-02-15,True
1,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
2,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-08-10,True
3,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Commercial,2019-11-10,True
4,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
5,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
6,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True
7,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True
8,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
9,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
10,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-08-10,True
11,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Commercial,2019-11-10,True
12,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
13,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
14,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True
15,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True
16,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-02-15,True
17,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-05-15,True
18,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-08-10,True
19,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-11-10,True
20,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
21,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
22,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-08-10,True
23,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-11-10,True
24,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-02-15,True
25,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-05-15,True
26,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-08-10,True
27,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-11-10,True
28,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-02-15,True
29,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
30,Centralized-MILP_priority,None,GS,water_quality,Oracle,Walker-Delta,2019-08-10,True
