Trial ID,Strategy,Preplanner,Replanner,Latency,Scenario,Data Processing,Date,in_centralization
28,Centralized,MILP,None,Low,water_quality,Oracle,2019-02-15,True
29,Centralized,MILP,None,Low,water_quality,Oracle,2019-05-15,True
30,Centralized,MILP,None,Low,water_quality,Oracle,2019-08-10,True
31,Centralized,MILP,None,Low,water_quality,Oracle,2019-11-10,True
32,Centralized,MILP,None,Medium,water_quality,Onboard,2018-02-15,True
33,Centralized,MILP,None,Medium,water_quality,Onboard,2018-05-15,True
34,Centralized,MILP,None,Medium,water_quality,Onboard,2018-08-10,True
35,Centralized,MILP,None,Medium,water_quality,Onboard,2018-11-10,True
36,Centralized,MILP,None,Medium,water_quality,Onboard,2019-02-15,True
37,Centralized,MILP,None,Medium,water_quality,Onboard,2019-05-15,True
38,Centralized,MILP,None,Medium,water_quality,Onboard,2019-08-10,True
39,Centralized,MILP,None,Medium,water_quality,Onboard,2019-11-10,True
40,Centralized,MILP,None,Medium,water_quality,Oracle,2018-02-15,True
41,Centralized,MILP,None,Medium,water_quality,Oracle,2018-05-15,True
42,Centralized,MILP,None,Medium,water_quality,Oracle,2018-08-10,True
43,Centralized,MILP,None,Medium,water_quality,Oracle,2018-11-10,True
44,Centralized,MILP,None,Medium,water_quality,Oracle,2019-02-15,True
45,Centralized,MILP,None,Medium,water_quality,Oracle,2019-05-15,True
46,Centralized,MILP,None,Medium,water_quality,Oracle,2019-08-10,True
47,Centralized,MILP,None,Medium,water_quality,Oracle,2019-11-10,True
48,Centralized,Metaheuristic,None,High,water_quality,Onboard,2018-02-15,True
49,Centralized,Metaheuristic,None,High,water_quality,Onboard,2018-05-15,True
50,Centralized,Metaheuristic,None,High,water_quality,Onboard,2018-08-10,True
51,Centralized,Metaheuristic,None,High,water_quality,Onboard,2018-11-10,True
52,Centralized,Metaheuristic,None,High,water_quality,Onboard,2019-02-15,True
53,Centralized,Metaheuristic,None,High,water_quality,Onboard,2019-05-15,True
54,Centralized,Metaheuristic,None,High,water_quality,Onboard,2019-08-10,True
55,Centralized,Metaheuristic,None,High,water_quality,Onboard,2019-11-10,True
56,Centralized,Metaheuristic,None,High,water_quality,Oracle,2018-02-15,True
57,Centralized,Metaheuristic,None,High,water_quality,Oracle,2018-05-15,True
58,Centralized,Metaheuristic,None,High,water_quality,Oracle,2018-08-10,True
59,Centralized,Metaheuristic,None,High,water_quality,Oracle,2018-11-10,True
60,Centralized,Metaheuristic,None,High,water_quality,Oracle,2019-02-15,True
61,Centralized,Metaheuristic,None,High,water_quality,Oracle,2019-05-15,True
62,Centralized,Metaheuristic,None,High,water_quality,Oracle,2019-08-10,True
63,Centralized,Metaheuristic,None,High,water_quality,Oracle,2019-11-10,True
64,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2018-02-15,True
65,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2018-05-15,True
66,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2018-08-10,True
67,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2018-11-10,True
68,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2019-02-15,True
69,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2019-05-15,True
70,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2019-08-10,True
71,Centralized,Metaheuristic,None,Low,water_quality,Onboard,2019-11-10,True
72,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2018-02-15,True
73,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2018-05-15,True
74,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2018-08-10,True
75,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2018-11-10,True
76,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2019-02-15,True
77,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2019-05-15,True
78,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2019-08-10,True
79,Centralized,Metaheuristic,None,Low,water_quality,Oracle,2019-11-10,True
80,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2018-02-15,True
81,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2018-05-15,True
82,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2018-08-10,True
83,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2018-11-10,True
