Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation,task_id
238,DP,None,192,High,500,60.0,2,False,False,True,11
239,None,Greedy,192,High,1000,60.0,2,False,False,True,11
240,DP,None,12,High,10,60.0,2,False,False,True,12
241,DP,Greedy,24,Medium,10,60.0,1,False,False,True,12
242,None,CBBA,12,Low,50,60.0,0,True,True,True,12
243,DP,Greedy,48,High,10,60.0,1,False,False,True,12
244,None,Greedy,96,Low,10,60.0,1,False,False,True,12
245,None,Greedy,24,Medium,100,60.0,2,False,False,True,12
246,None,Greedy,12,Medium,500,60.0,2,False,False,True,12
247,None,CBBA,12,Low,500,60.0,1,True,True,True,12
248,None,CBBA,96,Medium,10,60.0,2,False,True,True,12
249,DP,None,24,Medium,500,60.0,0,False,False,True,12
250,None,Greedy,24,High,500,60.0,1,False,False,True,12
251,None,CBBA,12,High,1000,60.0,0,False,True,True,12
252,None,Greedy,24,High,1000,60.0,1,False,False,True,12
253,DP,None,192,Medium,50,60.0,0,False,False,True,12
254,None,Greedy,192,Low,100,60.0,2,False,False,True,12
255,None,Greedy,96,Low,500,60.0,2,False,False,True,12
256,DP,CBBA,192,High,50,60.0,1,False,False,True,12
257,DP,CBBA,192,Medium,100,60.0,0,False,False,True,12
258,DP,None,192,Low,1000,60.0,0,False,False,True,12
259,DP,CBBA,192,Medium,500,60.0,1,False,False,True,12
260,DP,None,12,High,10,60.0,1,False,False,True,13
261,DP,Greedy,24,Medium,10,60.0,0,False,False,True,13
262,None,CBBA,12,Low,50,60.0,1,True,True,True,13
263,None,Greedy,48,High,10,60.0,0,False,False,True,13
264,DP,Greedy,96,Low,10,60.0,2,False,False,True,13
265,DP,Greedy,24,Medium,100,60.0,1,False,False,True,13
266,None,Greedy,12,Medium,500,60.0,1,False,False,True,13
267,DP,CBBA,12,Low,500,60.0,2,False,False,True,13
268,None,CBBA,96,Medium,10,60.0,1,False,True,True,13
