Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation
163,DP,CBBA,12,Low,100,60.0,0,False,False,True
164,DP,CBBA,12,Medium,100,60.0,0,False,False,True
165,DP,None,12,High,100,60.0,0,False,False,True
166,DP,None,12,Low,100,60.0,0,False,False,True
167,DP,None,12,Medium,100,60.0,0,False,False,True
168,DP,CBBA,12,High,500,60.0,0,False,False,True
169,DP,CBBA,12,Low,500,60.0,0,False,False,True
170,DP,CBBA,12,Medium,500,60.0,0,False,False,True
171,DP,None,12,High,500,60.0,0,False,False,True
172,DP,None,12,Low,500,60.0,0,False,False,True
173,DP,None,12,Medium,500,60.0,0,False,False,True
174,DP,CBBA,12,High,1000,60.0,0,False,False,True
175,DP,CBBA,12,Low,1000,60.0,0,False,False,True
176,DP,CBBA,12,Medium,1000,60.0,0,False,False,True
177,DP,None,12,High,1000,60.0,0,False,False,True
178,DP,None,12,Low,1000,60.0,0,False,False,True
179,DP,None,12,Medium,1000,60.0,0,False,False,True
180,DP,CBBA,24,High,10,60.0,0,False,False,True
181,DP,CBBA,24,Low,10,60.0,0,False,False,True
182,DP,CBBA,24,Medium,10,60.0,0,False,False,True
183,DP,None,24,High,10,60.0,0,False,False,True
184,DP,None,24,Low,10,60.0,0,False,False,True
185,DP,None,24,Medium,10,60.0,0,False,False,True
186,DP,CBBA,24,High,50,60.0,0,False,False,True
187,DP,CBBA,24,Low,50,60.0,0,False,False,True
188,DP,CBBA,24,Medium,50,60.0,0,False,False,True
189,DP,None,24,High,50,60.0,0,False,False,True
190,DP,None,24,Low,50,60.0,0,False,False,True
191,DP,None,24,Medium,50,60.0,0,False,False,True
192,DP,CBBA,24,High,100,60.0,0,False,False,True
193,DP,CBBA,24,Low,100,60.0,0,False,False,True
194,DP,CBBA,24,Medium,100,60.0,0,False,False,True
195,DP,None,24,High,100,60.0,0,False,False,True
196,DP,None,24,Low,100,60.0,0,False,False,True
197,DP,None,24,Medium,100,60.0,0,False,False,True
198,DP,CBBA,24,High,500,60.0,0,False,False,True
199,DP,CBBA,24,Low,500,60.0,0,False,False,True
200,DP,CBBA,24,Medium,500,60.0,0,False,False,True
201,DP,None,24,High,500,60.0,0,False,False,True
202,DP,None,24,Low,500,60.0,0,False,False,True
203,DP,None,24,Medium,500,60.0,0,False,False,True
204,DP,CBBA,24,High,1000,60.0,0,False,False,True
205,DP,CBBA,24,Low,1000,60.0,0,False,False,True
206,DP,CBBA,24,Medium,1000,60.0,0,False,False,True
207,DP,None,24,High,1000,60.0,0,False,False,True
208,DP,None,24,Low,1000,60.0,0,False,False,True
209,DP,None,24,Medium,1000,60.0,0,False,False,True
210,DP,CBBA,48,High,10,60.0,0,False,False,True
