Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_abridged,in_full,calculateDual
37,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
38,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,False
39,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-02-15,True,True,False
40,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
41,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,False
42,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-02-15,True,True,False
43,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
44,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,False
45,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-02-15,True,True,False
46,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
47,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,False
48,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-02-15,True,True,False
49,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
50,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,False
51,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-02-15,True,True,False
52,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,True,False
53,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True,True
54,Centralized-MILP_priority,None,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
55,Centralized-MILP_priority,None,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
56,Centralized-MILP_priority,None,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
57,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
58,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
59,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
60,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
61,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
62,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
63,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
64,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
65,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
66,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
67,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
68,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
69,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
70,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
71,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
72,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
73,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
74,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
75,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
76,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
77,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
78,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
79,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
80,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
81,DP,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
82,DP,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
83,DP,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
84,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
85,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
86,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
87,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
88,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
89,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
90,DP,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
91,DP,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
92,DP,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
93,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
94,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
95,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
96,DP,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
97,DP,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
98,DP,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
99,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
100,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
101,DP,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
102,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
103,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
104,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
105,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
106,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
107,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
108,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
109,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
110,DP,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
111,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
112,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
113,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
114,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
115,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
116,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
117,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
118,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
119,DP,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
120,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
121,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
122,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
123,DP,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
124,DP,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
125,DP,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
126,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
127,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
128,DP,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
129,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
130,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
131,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
132,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
133,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
134,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
135,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
136,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
137,DP,None,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
138,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
139,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
140,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
141,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
142,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
143,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
144,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
145,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
146,DP,None,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
147,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
148,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
149,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
150,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
151,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
152,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
153,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
154,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
155,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
156,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
157,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
158,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
159,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
160,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
161,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
162,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
163,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
164,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
165,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
166,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
167,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
168,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
169,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
170,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
171,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
172,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
173,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
174,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
175,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
176,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
177,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
178,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
179,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
180,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
181,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
182,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
183,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
184,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
185,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
186,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
187,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
188,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
189,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
190,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
