Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization
0,Centralized-MILP_priority,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
1,Centralized-MILP_priority,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
2,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
3,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
4,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
5,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
6,DP,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
7,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
8,DP,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
9,DP,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
10,DP,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
11,DP,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
12,DP,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
13,DP,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
14,DP,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
15,DP,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
16,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
17,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
18,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
19,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
20,DP,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
21,DP,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
22,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
23,DP,None,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
24,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
25,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
26,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
27,None,CBBA,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
28,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
29,None,CBBA,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
30,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
31,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
32,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
33,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
34,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
35,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
