Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_rq1,in_rq2,in_yearly,in_full,calcBoundsOpt
122,DP,CBBA,Interconstellation,Revisits,Onboard,2019-05-15,False,False,False,True,True,0
123,DP,CBBA,Interconstellation,Revisits,Onboard,2019-08-10,False,False,False,True,True,0
124,DP,CBBA,Interconstellation,Revisits,Onboard,2019-11-10,False,False,False,True,True,0
125,DP,CBBA,Interconstellation,Revisits,Instant,2018-02-15,False,False,False,False,True,0
126,DP,CBBA,Interconstellation,Revisits,Instant,2018-05-15,False,False,False,False,True,0
127,DP,CBBA,Interconstellation,Revisits,Instant,2018-08-10,False,False,False,False,True,0
128,DP,CBBA,Interconstellation,Revisits,Instant,2018-11-10,False,False,False,False,True,0
129,DP,CBBA,Interconstellation,Revisits,Instant,2019-05-15,False,False,False,True,True,0
130,DP,CBBA,Interconstellation,Revisits,Instant,2019-08-10,False,False,False,True,True,0
131,DP,CBBA,Interconstellation,Revisits,Instant,2019-11-10,False,False,False,True,True,0
132,DP,CBBA,Interconstellation,Urgency,Ground,2018-02-15,False,False,False,False,True,0
133,DP,CBBA,Interconstellation,Urgency,Ground,2018-05-15,False,False,False,False,True,0
134,DP,CBBA,Interconstellation,Urgency,Ground,2018-08-10,False,False,False,False,True,0
135,DP,CBBA,Interconstellation,Urgency,Ground,2018-11-10,False,False,False,False,True,0
136,DP,CBBA,Interconstellation,Urgency,Ground,2019-05-15,False,False,False,True,True,0
137,DP,CBBA,Interconstellation,Urgency,Ground,2019-08-10,False,False,False,True,True,0
138,DP,CBBA,Interconstellation,Urgency,Ground,2019-11-10,False,False,False,True,True,0
139,DP,CBBA,Interconstellation,Urgency,Onboard,2018-02-15,False,False,False,False,True,0
140,DP,CBBA,Interconstellation,Urgency,Onboard,2018-05-15,False,False,False,False,True,0
141,DP,CBBA,Interconstellation,Urgency,Onboard,2018-08-10,False,False,False,False,True,0
142,DP,CBBA,Interconstellation,Urgency,Onboard,2018-11-10,False,False,False,False,True,0
143,DP,CBBA,Interconstellation,Urgency,Onboard,2019-05-15,False,False,False,True,True,0
144,DP,CBBA,Interconstellation,Urgency,Onboard,2019-08-10,False,False,False,True,True,0
145,DP,CBBA,Interconstellation,Urgency,Onboard,2019-11-10,False,False,False,True,True,0
146,DP,CBBA,Interconstellation,Urgency,Instant,2018-02-15,False,False,False,False,True,0
147,DP,CBBA,Interconstellation,Urgency,Instant,2018-05-15,False,False,False,False,True,0
148,DP,CBBA,Interconstellation,Urgency,Instant,2018-08-10,False,False,False,False,True,0
149,DP,CBBA,Interconstellation,Urgency,Instant,2018-11-10,False,False,False,False,True,0
150,DP,CBBA,Interconstellation,Urgency,Instant,2019-05-15,False,False,False,True,True,0
151,DP,CBBA,Interconstellation,Urgency,Instant,2019-08-10,False,False,False,True,True,0
152,DP,CBBA,Interconstellation,Urgency,Instant,2019-11-10,False,False,False,True,True,0
153,DP,CBBA,Intraconstellation,Co-observations,Ground,2018-02-15,False,False,False,False,True,0
154,DP,CBBA,Intraconstellation,Co-observations,Ground,2018-05-15,False,False,False,False,True,0
155,DP,CBBA,Intraconstellation,Co-observations,Ground,2018-08-10,False,False,False,False,True,0
156,DP,CBBA,Intraconstellation,Co-observations,Ground,2018-11-10,False,False,False,False,True,0
157,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-05-15,False,False,False,True,True,0
158,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-08-10,False,False,False,True,True,0
159,DP,CBBA,Intraconstellation,Co-observations,Ground,2019-11-10,False,False,False,True,True,0
160,DP,CBBA,Intraconstellation,Co-observations,Onboard,2018-02-15,False,False,False,False,True,0
161,DP,CBBA,Intraconstellation,Co-observations,Onboard,2018-05-15,False,False,False,False,True,0
162,DP,CBBA,Intraconstellation,Co-observations,Onboard,2018-08-10,False,False,False,False,True,0
163,DP,CBBA,Intraconstellation,Co-observations,Onboard,2018-11-10,False,False,False,False,True,0
164,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-05-15,False,False,False,True,True,0
165,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-08-10,False,False,False,True,True,0
166,DP,CBBA,Intraconstellation,Co-observations,Onboard,2019-11-10,False,False,False,True,True,0
167,DP,CBBA,Intraconstellation,Co-observations,Instant,2018-02-15,False,False,False,False,True,0
168,DP,CBBA,Intraconstellation,Co-observations,Instant,2018-05-15,False,False,False,False,True,0
169,DP,CBBA,Intraconstellation,Co-observations,Instant,2018-08-10,False,False,False,False,True,0
170,DP,CBBA,Intraconstellation,Co-observations,Instant,2018-11-10,False,False,False,False,True,0
171,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-05-15,False,False,False,True,True,0
172,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-08-10,False,False,False,True,True,0
173,DP,CBBA,Intraconstellation,Co-observations,Instant,2019-11-10,False,False,False,True,True,0
