lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
46.3771,74.5812,high_flow_river,0,7497,2.9,"['VNIR', 'Altimeter']",9f83cc5b-7bb0-4d3c-9f63-ec50f78a1e01
21.8979,96.0146,high_flow_river,0,86400,75.7,"['VNIR', 'Altimeter']",ce211423-adf1-40f1-b605-76440c58381c
57.9854,102.6812,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",576ae1ec-1e75-4b56-970b-394a7e555144
39.9729,90.4229,high_flow_river,0,13560,100.0,"['VNIR', 'Altimeter']",2c3c8925-87e7-4b43-83e0-202fb80c3ac3
61.0146,76.1979,high_flow_river,0,50856,100.0,"['VNIR', 'Altimeter']",ae71873f-c652-4ce1-a1eb-78055411b948
26.0062,-97.6438,high_flow_river,0,63855,43.9,"['VNIR', 'Altimeter']",9cb2b8be-f505-452e-9879-7093c2e2e6e6
61.6062,90.0521,high_flow_river,0,46967,100.0,"['VNIR', 'Altimeter']",8bb98b7a-c374-4618-91bc-b6d44b2a3cfa
73.1812,90.1396,high_flow_river,0,86400,8.3,"['VNIR', 'Altimeter']",e1f1af43-8281-42d3-8358-49d4ce249cfb
51.9562,4.1604,high_flow_river,0,24745,100.0,"['VNIR', 'Altimeter']",e900c4d2-57d3-415f-bae7-606f4fd3e419
41.1729,122.0146,high_flow_river,0,86400,6.9,"['VNIR', 'Altimeter']",16c425d1-c5f0-4d3e-9d13-0856c0d47f70
35.9687,115.9646,high_flow_river,125,86275,100.0,"['VNIR', 'Altimeter']",a581cf3c-4fd6-4fc3-a0fb-4a317faa5428
64.7396,-155.8771,high_flow_river,538,85862,100.0,"['VNIR', 'Altimeter']",3950e836-3411-4c6d-be65-b6097fbeebba
-6.996931457519281,141.5053249782286,algal_bloom,751,85649,70.0,"['VNIR', 'TIR', 'Altimeter']",f9db181f-ca5f-4ae1-8306-1e6e1957729b
8.3646,10.0354,high_flow_river,1567,84833,100.0,"['VNIR', 'Altimeter']",4def9269-884e-47b7-a6d9-22e8aa6b17ab
64.6312,-100.0646,high_flow_river,2500,83900,61.9,"['VNIR', 'Altimeter']",ef33173a-71dd-4425-ac5d-e56724ab9931
18.0021,95.4604,high_flow_river,2625,83775,1.2,"['VNIR', 'Altimeter']",fff53faa-29f2-40e8-be21-bd583d7147d5
69.2437,-135.1521,high_flow_river,7934,25420,11.1,"['VNIR', 'Altimeter']",d55c936a-75a3-467d-9f72-421f9dc0fe2b
46.0146,127.6812,high_flow_river,11889,74511,100.0,"['VNIR', 'Altimeter']",84f1449c-8072-4672-89ff-28159d20eec2
52.0521,29.2646,high_flow_river,11994,74406,75.9,"['VNIR', 'Altimeter']",357d9650-e994-4716-9ca1-7c42654def4d
36.961731635199726,95.2276962546528,algal_bloom,12149,74251,21.9,"['VNIR', 'TIR', 'Altimeter']",f45ae220-0c63-4539-8e6a-2a539b6eb943
34.940244767931006,97.69393646056956,algal_bloom,12149,74251,63.8,"['VNIR', 'TIR', 'Altimeter']",6c04764f-a6ec-48fe-a459-e6365eee835a
13.6187,100.5562,high_flow_river,12243,74157,100.0,"['VNIR', 'Altimeter']",4d3b9787-15ef-45c0-8b4f-1240669e361e
46.3771,74.5812,high_flow_river,13319,33776,9.8,"['VNIR', 'Altimeter']",3aab7478-00f7-4952-97da-3c4819a7c26e
45.7729,123.9979,high_flow_river,13638,72762,100.0,"['VNIR', 'Altimeter']",a7f97b1e-46d6-4fc2-9b6f-4342729317f8
74.5240444607206,101.27601103870448,algal_bloom,13801,72599,41.2,"['VNIR', 'TIR', 'Altimeter']",01dd89b0-a07f-454d-9b5c-ebc9fcdae834
55.9937,102.9937,high_flow_river,16405,69995,51.1,"['VNIR', 'Altimeter']",930452dd-ff05-4a5f-a63a-58c46ebeb5b0
52.89195433389162,74.21762470809168,algal_bloom,17849,68551,51.8,"['VNIR', 'TIR', 'Altimeter']",e1d50806-0d12-41cf-b55f-d74f93ac824a
52.98027520073836,79.56856856061012,algal_bloom,17849,68551,56.5,"['VNIR', 'TIR', 'Altimeter']",c68d6a56-041b-4d52-8e89-8e6dde177101
53.21166395399297,73.28105080524327,algal_bloom,17849,68551,43.6,"['VNIR', 'TIR', 'Altimeter']",46c4641d-0801-43b7-9b0e-07aa8a41ec46
53.834030490451255,72.93458525566811,algal_bloom,17849,68551,23.5,"['VNIR', 'TIR', 'Altimeter']",24429ea5-cfe0-48cf-9db4-db776f43524d
55.470946994358,80.04726505597982,algal_bloom,17849,68551,70.0,"['VNIR', 'TIR', 'Altimeter']",a4e7f3d9-b2c1-485d-b6d5-030964123dcf
54.956100226508426,90.99150199974096,algal_bloom,17849,68551,51.8,"['VNIR', 'TIR', 'Altimeter']",1bdd024a-8fb9-4486-9126-e5255d577bf6
54.56979378594352,77.95942223569324,algal_bloom,17849,68551,70.0,"['VNIR', 'TIR', 'Altimeter']",4714ec24-5487-4aa5-a643-f9b02ecd5834
45.932398003472144,73.9313005751469,algal_bloom,20401,65999,13.7,"['VNIR', 'TIR', 'Altimeter']",6651bd07-cc5a-4fa4-9cdc-e4c497aa2111
47.5896,-108.1229,high_flow_river,21789,64611,100.0,"['VNIR', 'Altimeter']",e9fe06b1-1fd7-4b06-b1cc-f507e3a49dd3
16.5062,-15.9271,high_flow_river,21889,64511,100.0,"['VNIR', 'Altimeter']",eee0ba2b-e66b-4f5e-baa0-8b1a2c2eb715
28.0604,69.0479,high_flow_river,22867,63533,100.0,"['VNIR', 'Altimeter']",08cc4bce-1fa5-4f9d-9817-25e67033076d
29.412076026069343,53.72806360884934,algal_bloom,24448,61952,19.0,"['VNIR', 'TIR', 'Altimeter']",ac2e906b-77c4-4f86-ad37-e4efb1a75a1a
10.0021,27.8396,high_flow_river,25864,60536,42.2,"['VNIR', 'Altimeter']",74a263ac-417b-4ce9-a732-12e7a4125fd3
29.3062,-104.0021,high_flow_river,26035,60365,7.9,"['VNIR', 'Altimeter']",e73b9388-cbb7-4d3c-86bf-b42f16a8a49c
57.16361111111175,55.006217685275445,algal_bloom,26280,60120,70.0,"['VNIR', 'TIR', 'Altimeter']",05c8d1be-eac2-4685-8139-8865189f09f5
60.57313028971373,39.10183859358894,algal_bloom,26280,60120,60.1,"['VNIR', 'TIR', 'Altimeter']",28f97406-c71e-47f5-b79a-56e21ea9e746
54.59763617621627,48.65978364875703,algal_bloom,26280,60120,61.9,"['VNIR', 'TIR', 'Altimeter']",312423df-96a1-4f8e-a963-f090d859a2ab
57.3771,-98.0146,high_flow_river,26996,37875,34.3,"['VNIR', 'Altimeter']",b00a576f-a016-4cda-8d5e-01e8bcc68fd7
-11.956530626084458,34.50541855325034,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",4b06fcce-e1cb-487c-ab9d-cd48f6f38384
-8.722684326171816,29.683824661950013,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",3d199dda-82f5-4a35-b9e2-09ad34429ce2
-6.078322347004757,29.469514970697347,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",26bead28-2808-4dc9-af9d-00a299cb03f3
-10.887964138454066,27.07140629684248,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",fc1db088-cb44-4399-802c-ceb5d56ded17
-11.147794053818645,29.7844024249982,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",26fd2581-49ae-4a23-a92d-db45e5300c41
-9.029444444444325,28.69060812473054,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",4a2780f4-a41a-4515-98ad-d147eaeed650
-1.2757950846351207,32.87172487175212,algal_bloom,27360,59040,67.9,"['VNIR', 'TIR', 'Altimeter']",24dc3fdd-c0e2-4f2f-bfe0-7d1f9f06ae42
-3.621052381727168,35.806076496449634,algal_bloom,27360,59040,70.0,"['VNIR', 'TIR', 'Altimeter']",687f997b-34db-43ff-8dfb-01c3d332762f
-10.686825188529951,25.719122071841007,algal_bloom,27360,59040,63.8,"['VNIR', 'TIR', 'Altimeter']",a223855d-71fd-45d1-bbac-6e49806c741e
-8.642020534939036,26.37511018827171,algal_bloom,27360,59040,51.8,"['VNIR', 'TIR', 'Altimeter']",7472ef0b-078a-4680-9aca-b502b516ca3e
-6.093578423393808,35.19059583222075,algal_bloom,27360,59040,54.9,"['VNIR', 'TIR', 'Altimeter']",89b43827-2e3c-45e5-9a0f-fa091902989d
-7.954772135416505,32.15273170915001,algal_bloom,27360,59040,58.3,"['VNIR', 'TIR', 'Altimeter']",a3d63ee8-ce53-4a1c-b839-f0e455bc789f
-3.5922022840708223,35.125714436938395,algal_bloom,27360,59040,60.1,"['VNIR', 'TIR', 'Altimeter']",ab474c2b-cb95-4310-a4ba-88b7c3df2016
-2.331889227690027,36.01673979735038,algal_bloom,27360,59040,65.8,"['VNIR', 'TIR', 'Altimeter']",8f6b4434-6844-434c-a58c-dae002391995
-5.241337280273001,31.13409473458984,algal_bloom,27360,59040,65.8,"['VNIR', 'TIR', 'Altimeter']",3be807ee-7a74-4f77-af14-9beccfc78a6f
-7.021724514431071,35.8404246890129,algal_bloom,27360,59040,58.3,"['VNIR', 'TIR', 'Altimeter']",bdeed003-670b-44c8-83ea-7c01b22a2956
39.0104,-81.9854,high_flow_river,28703,57697,3.1,"['VNIR', 'Altimeter']",993f1f25-13aa-4fd6-830e-e1f7f516924d
34.6354,109.9937,high_flow_river,28784,21419,15.6,"['VNIR', 'Altimeter']",ced702cf-5bd4-4d87-bcb1-40db3189abac
56.0187,54.0104,high_flow_river,32929,53471,68.6,"['VNIR', 'Altimeter']",56fcd553-b728-4b9d-9f3a-c6fe87dbb382
31.9187,-114.9854,high_flow_river,33937,52463,41.5,"['VNIR', 'Altimeter']",61c5ca35-4957-4e40-831e-117894a1f4e4
17.9812,-102.1563,high_flow_river,35585,50815,100.0,"['VNIR', 'Altimeter']",51aaf355-935f-4f98-bcbb-01ffaf580c1c
