lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
49.9979,136.7896,high_flow_river,0,46995,0.0,"['VNIR', 'Altimeter']",f7c2099d-a6fc-4873-914e-88eb65deca85
-4.0021,-52.6021,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",ef4ae66e-b4ca-46c9-bbf5-02179fa1ef2e
-4.0021,-55.6354,high_flow_river,0,63317,100.0,"['VNIR', 'Altimeter']",c02680fc-de58-4bb3-af77-d100cdd3170f
-6.0063,-47.4438,high_flow_river,0,20551,30.8,"['VNIR', 'Altimeter']",42e9b4f6-932b-4650-9a69-05880e52a320
9.5,-63.5,wildfire,31,23100,53.4,"['TIR', 'MIR', 'VNIR', 'SAR']",138020fe-1ca5-4803-ab48-4eba2ea42229
9.0,-63.0,wildfire,31,6000,53.1,"['TIR', 'MIR', 'VNIR', 'SAR']",c672d09f-cf28-4029-8a02-601d0d460e33
9.0,-68.0,wildfire,31,13200,62.0,"['TIR', 'MIR', 'VNIR', 'SAR']",206d7707-08f0-4e0b-aec1-f71ef8dfe559
-38.0,-73.5,wildfire,31,5100,53.8,"['TIR', 'MIR', 'VNIR', 'SAR']",c054a9cd-749c-4d8d-b560-a07648c65725
-37.5,-72.5,wildfire,31,85200,82.1,"['TIR', 'MIR', 'VNIR', 'SAR']",ecae0b3c-173c-453d-a3fb-3c92effead98
-37.5,-73.0,wildfire,37,34801,92.8,"['TIR', 'MIR', 'VNIR', 'SAR']",7c2d7c5f-36c0-467e-a959-cf8ed646c912
3.5,-72.5,wildfire,37,3294,55.7,"['TIR', 'MIR', 'VNIR', 'SAR']",9e67a06c-4ec9-44a0-adbc-3de6b1a322be
8.0,-80.5,wildfire,37,3294,51.3,"['TIR', 'MIR', 'VNIR', 'SAR']",23a215f7-24a3-48b1-811a-3d2a4940fcbd
14.5,-91.0,wildfire,37,1500,57.1,"['TIR', 'MIR', 'VNIR', 'SAR']",ef5d8266-ee93-4a1b-8986-3d22cee7cdc8
-36.5,-71.5,wildfire,37,77094,79.2,"['TIR', 'MIR', 'VNIR', 'SAR']",dd845e7c-0fa0-4d56-8f59-de5a5d2154c6
-1.5,29.0,wildfire,240,86160,66.0,"['TIR', 'MIR', 'VNIR', 'SAR']",b8a67b0a-deef-4959-8344-e6121dfc2ff3
31.4396,30.4104,high_flow_river,448,62546,100.0,"['VNIR', 'Altimeter']",3084714b-f36d-46d2-8bc3-446c1e691b02
-33.5,22.0,wildfire,780,85620,51.7,"['TIR', 'MIR', 'VNIR', 'SAR']",296601eb-3f7a-4108-b7fe-449c7724ff5f
22.0,-98.5,wildfire,931,600,54.6,"['TIR', 'MIR', 'VNIR', 'SAR']",a2a156f4-71ee-4b2b-9af7-685aaa5e082c
24.5,-107.5,wildfire,937,600,61.6,"['TIR', 'MIR', 'VNIR', 'SAR']",3aba2dd8-b0f8-4b19-82a8-7745c088fbe5
24.0,-107.5,wildfire,937,600,57.7,"['TIR', 'MIR', 'VNIR', 'SAR']",e19ea5a7-1639-456d-adde-513d28224d1a
-17.439323416572563,139.2972570324865,algal_bloom,1056,85344,26.7,"['VNIR', 'TIR', 'Altimeter']",457b2d2f-7f68-4519-b711-29a7a13d6513
-17.78030219184005,140.298784698878,algal_bloom,1056,85344,32.1,"['VNIR', 'TIR', 'Altimeter']",6fa7c4bf-c196-494b-a52b-02a923e29d42
9.5,-72.5,wildfire,1837,18594,50.8,"['TIR', 'MIR', 'VNIR', 'SAR']",746977dd-8fb9-42f6-acd0-bfb4e44ef974
10.5,-72.5,wildfire,1837,4200,55.0,"['TIR', 'MIR', 'VNIR', 'SAR']",afaee85f-755b-4137-89f9-253f799c7a62
68.0,72.5,wildfire,1920,84480,55.7,"['TIR', 'MIR', 'VNIR', 'SAR']",7810047c-4ab6-496c-ba0d-a6e39682c27c
66.0,71.0,wildfire,1980,84420,43.5,"['TIR', 'MIR', 'VNIR', 'SAR']",055b6e16-738d-469a-8318-4607f58a47b0
-17.8771,19.9687,high_flow_river,2521,83879,65.3,"['VNIR', 'Altimeter']",d2af0818-f4fd-40f6-825f-852348367c66
6.5,-69.0,wildfire,2731,3300,48.3,"['TIR', 'MIR', 'VNIR', 'SAR']",bed8811c-3cd4-453b-983e-25d20ca6b6c5
6.5,-69.5,wildfire,2731,10500,60.7,"['TIR', 'MIR', 'VNIR', 'SAR']",fa95879c-af47-4657-9176-e7a68a75514b
14.5,-91.5,wildfire,2737,3300,54.5,"['TIR', 'MIR', 'VNIR', 'SAR']",786f6fa2-e3cb-4519-8a8b-98f428c79ee2
14.5,-92.0,wildfire,2737,600,64.4,"['TIR', 'MIR', 'VNIR', 'SAR']",256195f0-684a-49b5-ae8c-17e191189a1d
31.5,6.0,wildfire,2760,83640,41.1,"['TIR', 'MIR', 'VNIR', 'SAR']",18fa991b-b0bf-476e-89a9-019b218a61de
22.0,-98.0,wildfire,3631,600,50.8,"['TIR', 'MIR', 'VNIR', 'SAR']",e5e387de-84ad-4765-82a4-2b84dfa7ff3e
-38.0,-73.0,wildfire,3631,22200,68.1,"['TIR', 'MIR', 'VNIR', 'SAR']",64bcce75-b665-4b64-815f-854813fad3e7
-31.168130900064725,122.04844617304327,algal_bloom,4924,81476,34.0,"['VNIR', 'TIR', 'Altimeter']",f9622cd7-e23d-4398-bbb7-25401c3380ea
-31.84988471137123,121.83866848586278,algal_bloom,4924,81476,32.1,"['VNIR', 'TIR', 'Altimeter']",7fafb3e3-025e-4646-8b24-163f9b965a7c
-29.745054524739203,121.59698349450936,algal_bloom,4924,81476,34.0,"['VNIR', 'TIR', 'Altimeter']",6c56dde6-9f28-48ad-9daa-081b1a43fc24
-26.723032769096548,123.24777692409582,algal_bloom,4924,81476,30.3,"['VNIR', 'TIR', 'Altimeter']",5074b7e8-44a8-4b3c-97c4-8378dcf947c1
-26.20327385796369,122.474266230292,algal_bloom,4924,81476,28.5,"['VNIR', 'TIR', 'Altimeter']",3e47d914-4a24-4101-b9ab-669818d31a99
-23.467015245225795,122.70646629594076,algal_bloom,4924,81476,26.7,"['VNIR', 'TIR', 'Altimeter']",f6222dae-f2ae-4c9c-8433-dd81029e01d2
-28.740929090711333,124.43647182464828,algal_bloom,4924,81476,32.1,"['VNIR', 'TIR', 'Altimeter']",f0f4c6f4-5bc4-403b-8c9d-aa76deb27043
-29.09276977539018,122.27905632313052,algal_bloom,4924,81476,43.6,"['VNIR', 'TIR', 'Altimeter']",f82e3e0e-be2d-429b-b640-685cffa8253b
-31.31191786024266,121.6438965032442,algal_bloom,4924,81476,34.0,"['VNIR', 'TIR', 'Altimeter']",fba8ba0b-b38c-4fca-b593-bfeea89c1c63
-30.64614891899916,122.00140705567182,algal_bloom,4924,81476,38.1,"['VNIR', 'TIR', 'Altimeter']",63eb6e77-92df-4838-b79d-2b4bbbbe277d
-29.42805569118877,121.96147420758098,algal_bloom,4924,81476,34.0,"['VNIR', 'TIR', 'Altimeter']",d829d7b8-27ac-42b6-852c-7193414fdda2
5.0,-71.5,wildfire,5431,2400,50.2,"['TIR', 'MIR', 'VNIR', 'SAR']",f8ad9604-e1fa-4338-ab71-c7984f462cd1
10.0,-72.5,wildfire,6331,600,51.3,"['TIR', 'MIR', 'VNIR', 'SAR']",361bd2b7-596d-4509-a66e-7e9e5b239266
-36.5,-72.5,wildfire,6331,6000,62.3,"['TIR', 'MIR', 'VNIR', 'SAR']",9f9f9dfa-fc54-4946-90ae-bb23153e0957
19.5,-96.5,wildfire,7231,600,50.6,"['TIR', 'MIR', 'VNIR', 'SAR']",193692e1-f576-4433-a855-2ff7ce520c21
43.0,-1.0,wildfire,8580,77820,51.2,"['TIR', 'MIR', 'VNIR', 'SAR']",c3023951-06c8-42e8-ad2f-3134278a793a
-44.0,172.0,wildfire,8640,46200,51.9,"['TIR', 'MIR', 'VNIR', 'SAR']",d2af2d05-ce22-4966-89c6-2effb3d918c7
-4.3146,-56.0063,high_flow_river,8963,45537,53.1,"['VNIR', 'Altimeter']",a9aeba89-3705-4b28-896c-46aedda516a4
53.663134697808175,108.18842264096403,algal_bloom,9543,76857,61.9,"['VNIR', 'TIR', 'Altimeter']",fd1cac44-76a6-4d2e-8cac-2a965860e524
31.9187,-114.9854,high_flow_river,9996,36288,5.9,"['VNIR', 'Altimeter']",88b55d7f-c39b-415b-ac77-6f5d1601d7f9
16.698754882812835,102.59907693777356,algal_bloom,10263,76137,70.0,"['VNIR', 'TIR', 'Altimeter']",51dc997c-322c-4a89-af50-9278b407803f
16.781066080729573,103.60289236550727,algal_bloom,10263,76137,50.3,"['VNIR', 'TIR', 'Altimeter']",ca523a4d-6695-44ad-83b1-8c88d2d06c2a
12.901656968858532,103.99446866379697,algal_bloom,10263,76137,70.0,"['VNIR', 'TIR', 'Altimeter']",e48f56c2-787c-4102-884a-393effeb2a69
11.44638929579014,106.2571793342041,algal_bloom,10263,76137,70.0,"['VNIR', 'TIR', 'Altimeter']",e72fe8dd-5e02-4c95-8e67-09b4731ac8d9
15.003431532117672,105.36667083640567,algal_bloom,10263,76137,25.1,"['VNIR', 'TIR', 'Altimeter']",7fcf0a88-1f32-461e-98f1-ffdccd7f6389
14.0,-89.0,wildfire,10837,600,50.8,"['TIR', 'MIR', 'VNIR', 'SAR']",cd0ea837-8802-4771-bea8-2fecc820b457
-30.0,151.0,wildfire,11880,46260,63.1,"['TIR', 'MIR', 'VNIR', 'SAR']",1e0d7b31-eade-4405-b3f6-e744dccc1bea
-29.0,152.0,wildfire,11940,74460,53.6,"['TIR', 'MIR', 'VNIR', 'SAR']",15551afe-7a04-4d2a-83b9-e2e99032f6a7
-30.0,151.5,wildfire,11940,46200,49.3,"['TIR', 'MIR', 'VNIR', 'SAR']",5804d863-fc9b-49b9-898e-6d8b2afc90e8
-29.0,152.5,wildfire,11940,46200,51.8,"['TIR', 'MIR', 'VNIR', 'SAR']",6924da51-1288-4ee1-86e2-a6423406f769
51.02124728732656,100.47791960443573,algal_bloom,12095,74305,70.0,"['VNIR', 'TIR', 'Altimeter']",6de969f4-ea1d-4dbe-bddb-4edc26cf0add
14.726118469238344,99.03700518369016,algal_bloom,12635,73765,70.0,"['VNIR', 'TIR', 'Altimeter']",89f21351-b2fe-478b-a0cc-d6476577e79e
17.974442342122785,100.50559716471572,algal_bloom,12635,73765,65.8,"['VNIR', 'TIR', 'Altimeter']",e5ab7afd-02b5-4ce8-8a51-60513046b3cb
17.604703224891438,98.68540169879738,algal_bloom,12635,73765,61.9,"['VNIR', 'TIR', 'Altimeter']",6fad57ac-d58e-426a-b13d-f8337b792048
6.0,-70.5,wildfire,13531,4200,64.0,"['TIR', 'MIR', 'VNIR', 'SAR']",51aeb326-3577-442a-a63f-813e37de6cd8
44.9062,59.7146,high_flow_river,14492,45063,100.0,"['VNIR', 'Altimeter']",9f2fb443-4198-4803-9745-da9b3d767a84
-16.5896,33.9979,high_flow_river,14906,28117,0.2,"['VNIR', 'Altimeter']",4eddf3a3-1b7b-4526-a4cd-1d4af5837bbf
-25.5,130.5,wildfire,15060,46200,48.6,"['TIR', 'MIR', 'VNIR', 'SAR']",dc1cd362-0971-4b7b-b798-9dacb1eb1425
-22.0,140.0,wildfire,15120,46200,53.4,"['TIR', 'MIR', 'VNIR', 'SAR']",c8a2a821-4026-4789-b1c8-95bee027efa7
-22.5,131.0,wildfire,15120,49200,54.6,"['TIR', 'MIR', 'VNIR', 'SAR']",21ce6164-a27f-43b1-bf56-0a35e41f1d3c
-17.5,134.5,wildfire,15180,46200,48.2,"['TIR', 'MIR', 'VNIR', 'SAR']",0076ec25-27f1-4a93-8bcb-b1970eaf3e5f
6.0,125.0,wildfire,15600,46200,45.0,"['TIR', 'MIR', 'VNIR', 'SAR']",934dffe5-2599-4458-84c7-3ab5df6bb2ed
41.96934258355074,87.05416384558211,algal_bloom,15782,70618,28.5,"['VNIR', 'TIR', 'Altimeter']",628465c7-34dc-445d-9fec-563f6118b5c9
51.57168172200514,87.66884552136602,algal_bloom,15782,70618,54.9,"['VNIR', 'TIR', 'Altimeter']",1ecbc78e-07a7-4705-8607-8db4b37f2ac3
-8.0271,39.2521,high_flow_river,17250,69150,12.0,"['VNIR', 'Altimeter']",87596d5e-3996-4710-9d23-900247c42dde
-32.0,121.5,wildfire,17940,49260,71.5,"['TIR', 'MIR', 'VNIR', 'SAR']",975375ee-b0e2-4f89-aeb7-b67b08d8f5c6
-33.0,123.5,wildfire,17940,68460,76.9,"['TIR', 'MIR', 'VNIR', 'SAR']",562e5c4e-3177-4652-be8f-d5019cba430c
-33.0,123.0,wildfire,17940,49200,79.2,"['TIR', 'MIR', 'VNIR', 'SAR']",0d9bfef5-def7-4ef7-8cd0-91b7f5f90abd
-32.5,121.5,wildfire,17940,49260,53.7,"['TIR', 'MIR', 'VNIR', 'SAR']",4505ecec-e6b9-4dc1-bd00-72ba1f096dd7
-30.5,123.5,wildfire,18000,68400,70.9,"['TIR', 'MIR', 'VNIR', 'SAR']",9a74a937-91ef-466e-976b-0fce635bd14e
-21.5,121.5,wildfire,18120,3600,57.2,"['TIR', 'MIR', 'VNIR', 'SAR']",b9786663-8028-4bf2-b69e-b74c1083fd58
-21.5,116.5,wildfire,18180,68220,49.1,"['TIR', 'MIR', 'VNIR', 'SAR']",741a3ddd-531b-442d-a66f-fca38840592c
-19.5,126.5,wildfire,18180,3600,60.8,"['TIR', 'MIR', 'VNIR', 'SAR']",4038c815-8442-48e2-adb1-6bfbbeebcea0
-21.5,115.0,wildfire,18180,68220,40.5,"['TIR', 'MIR', 'VNIR', 'SAR']",2d188a66-57fb-4d66-9c26-62100c537cb7
24.003760545519327,69.02081879795335,algal_bloom,18514,67886,25.1,"['VNIR', 'TIR', 'Altimeter']",26d3ac13-5b2a-4397-80ad-25fe7802449d
21.34363118489631,73.7687856768826,algal_bloom,18514,67886,23.5,"['VNIR', 'TIR', 'Altimeter']",fa69f95e-330f-4dba-aeab-9bcbe7e51cc4
24.454820632934712,75.4778871372358,algal_bloom,18514,67886,56.5,"['VNIR', 'TIR', 'Altimeter']",9ddcef8a-19b1-4ced-957c-435e682d1da8
24.18193793402844,68.68221409680882,algal_bloom,18514,67886,26.7,"['VNIR', 'TIR', 'Altimeter']",840ac9c0-617b-4bfa-8676-8d9345257381
13.5,106.5,wildfire,18780,46200,49.6,"['TIR', 'MIR', 'VNIR', 'SAR']",b39e838c-79e1-4a73-95ea-c896d660c2b7
14.0,107.0,wildfire,18780,46200,57.5,"['TIR', 'MIR', 'VNIR', 'SAR']",3e76cc65-f871-4355-a820-4ea5ab2669d1
12.5,107.0,wildfire,18780,46200,52.1,"['TIR', 'MIR', 'VNIR', 'SAR']",cc9bff97-f3cd-4aa6-8c80-22e4235ed2ba
-30.5,120.0,wildfire,21000,46200,56.6,"['TIR', 'MIR', 'VNIR', 'SAR']",32299cd0-076e-43cd-82e9-2e1c284a556d
-31.5,123.0,wildfire,21000,46200,51.7,"['TIR', 'MIR', 'VNIR', 'SAR']",a0e4d698-0857-4cce-9ed8-a855e35aab11
-30.5,124.0,wildfire,21000,3600,56.8,"['TIR', 'MIR', 'VNIR', 'SAR']",2564d042-4a13-4db6-b49b-bf8f75e28c49
-30.0,122.5,wildfire,21000,46200,71.1,"['TIR', 'MIR', 'VNIR', 'SAR']",3a55b6c6-7a7d-4005-b2dc-7bb97ce0fae8
-31.0,118.0,wildfire,21000,46200,48.4,"['TIR', 'MIR', 'VNIR', 'SAR']",d3c4d29f-2c4d-47ee-a400-b932c62e1435
-29.5,123.0,wildfire,21060,3600,62.7,"['TIR', 'MIR', 'VNIR', 'SAR']",424847a5-4ef2-4c31-823e-0bbd8a34899a
-28.5,119.5,wildfire,21060,46200,51.4,"['TIR', 'MIR', 'VNIR', 'SAR']",3b7acf3b-72cf-44a4-a49f-733de2492770
-29.0,122.5,wildfire,21060,3600,63.9,"['TIR', 'MIR', 'VNIR', 'SAR']",a6decdb9-89c1-413d-8101-58de68b50b88
-27.5,124.0,wildfire,21060,3600,64.1,"['TIR', 'MIR', 'VNIR', 'SAR']",5e8895cc-9034-458f-830d-ef9d345114f6
-29.0,120.5,wildfire,21060,46200,50.5,"['TIR', 'MIR', 'VNIR', 'SAR']",846fb40c-917a-4379-989e-ca9a96f54962
-29.0,123.0,wildfire,21060,65340,55.5,"['TIR', 'MIR', 'VNIR', 'SAR']",fd3cc6ea-dde6-400c-8326-c7ca922aed2a
-26.5,121.0,wildfire,21120,3600,59.2,"['TIR', 'MIR', 'VNIR', 'SAR']",378f74a6-f0fc-4000-9699-1b06ca1fbae2
-22.0,120.0,wildfire,21180,3600,50.3,"['TIR', 'MIR', 'VNIR', 'SAR']",dfabca82-9c0f-4a73-a4a8-76e072404f97
-22.0,119.5,wildfire,21180,65220,52.5,"['TIR', 'MIR', 'VNIR', 'SAR']",6a9a630e-d7a7-4b37-a920-29adc21b1190
-21.0,119.5,wildfire,21180,65220,52.1,"['TIR', 'MIR', 'VNIR', 'SAR']",6e19aa99-4797-4270-bc54-694b6a082371
-21.0,119.0,wildfire,21180,65220,52.5,"['TIR', 'MIR', 'VNIR', 'SAR']",5cb64e46-a9c3-42e5-b03b-41127ce7eafc
1.5,101.5,wildfire,21600,64800,54.7,"['TIR', 'MIR', 'VNIR', 'SAR']",99f6c481-9024-427d-9655-5b652b1421b9
13.0,106.0,wildfire,21780,3600,50.6,"['TIR', 'MIR', 'VNIR', 'SAR']",15e7cb6b-0e65-47a3-a561-1be1461d7d10
12.5,106.0,wildfire,21780,3600,60.6,"['TIR', 'MIR', 'VNIR', 'SAR']",a3dce5c0-5cb7-4ba6-9432-c674803bee77
14.5,108.0,wildfire,21780,3600,53.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c46d7f9f-ed43-4514-bdf2-2e79cf1976fa
14.5,106.5,wildfire,21780,3600,60.7,"['TIR', 'MIR', 'VNIR', 'SAR']",86626122-3ed3-4168-9937-c463a96a833b
14.0,105.0,wildfire,21780,64620,50.4,"['TIR', 'MIR', 'VNIR', 'SAR']",df354f81-252a-4765-b3bb-f44b00f2b015
14.0,105.5,wildfire,21780,3600,57.5,"['TIR', 'MIR', 'VNIR', 'SAR']",96324743-a78a-4c56-9277-5d9547d26324
13.5,106.0,wildfire,21780,3600,58.0,"['TIR', 'MIR', 'VNIR', 'SAR']",b65ed52b-9cb0-42be-abaa-b43727879929
-6.0063,-47.4438,high_flow_river,21909,30337,68.3,"['VNIR', 'Altimeter']",7d104c59-bd4c-45a9-a815-266cd6288850
10.5,-85.5,wildfire,23438,600,60.1,"['TIR', 'MIR', 'VNIR', 'SAR']",07b64c0f-8cfe-4d6c-99d1-8fe87014e9e4
-10.0063,-50.2979,high_flow_river,23816,62584,100.0,"['VNIR', 'Altimeter']",15821531-a48c-4266-894a-5a49befed74b
