lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
46.3771,74.5812,high_flow_river,0,7497,2.9,"['VNIR', 'Altimeter']",9f83cc5b-7bb0-4d3c-9f63-ec50f78a1e01
21.8979,96.0146,high_flow_river,0,86400,75.7,"['VNIR', 'Altimeter']",ce211423-adf1-40f1-b605-76440c58381c
57.9854,102.6812,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",576ae1ec-1e75-4b56-970b-394a7e555144
39.9729,90.4229,high_flow_river,0,13560,100.0,"['VNIR', 'Altimeter']",2c3c8925-87e7-4b43-83e0-202fb80c3ac3
61.0146,76.1979,high_flow_river,0,50856,100.0,"['VNIR', 'Altimeter']",ae71873f-c652-4ce1-a1eb-78055411b948
26.0062,-97.6438,high_flow_river,0,63855,43.9,"['VNIR', 'Altimeter']",9cb2b8be-f505-452e-9879-7093c2e2e6e6
61.6062,90.0521,high_flow_river,0,46967,100.0,"['VNIR', 'Altimeter']",8bb98b7a-c374-4618-91bc-b6d44b2a3cfa
73.1812,90.1396,high_flow_river,0,86400,8.3,"['VNIR', 'Altimeter']",e1f1af43-8281-42d3-8358-49d4ce249cfb
51.9562,4.1604,high_flow_river,0,24745,100.0,"['VNIR', 'Altimeter']",e900c4d2-57d3-415f-bae7-606f4fd3e419
41.1729,122.0146,high_flow_river,0,86400,6.9,"['VNIR', 'Altimeter']",16c425d1-c5f0-4d3e-9d13-0856c0d47f70
35.9687,115.9646,high_flow_river,125,86275,100.0,"['VNIR', 'Altimeter']",a581cf3c-4fd6-4fc3-a0fb-4a317faa5428
-1.5,29.0,wildfire,180,86220,52.7,"['TIR', 'MIR', 'VNIR', 'SAR']",7621dda8-ced6-455b-90b1-5c8dbacb7ab2
-12.0,26.0,wildfire,360,86040,46.6,"['TIR', 'MIR', 'VNIR', 'SAR']",af3310ab-f5e8-4213-ac6c-fae0f7507afa
64.7396,-155.8771,high_flow_river,538,85862,100.0,"['VNIR', 'Altimeter']",3950e836-3411-4c6d-be65-b6097fbeebba
-6.996931457519281,141.5053249782286,algal_bloom,751,85649,70.0,"['VNIR', 'TIR', 'Altimeter']",f9db181f-ca5f-4ae1-8306-1e6e1957729b
-22.0,-51.0,wildfire,1255,600,58.0,"['TIR', 'MIR', 'VNIR', 'SAR']",1a7de308-75a3-4702-9621-b08496b41bd8
34.5,-118.5,wildfire,1255,600,80.4,"['TIR', 'MIR', 'VNIR', 'SAR']",e5c949b9-87f9-4b00-89cc-0509d0c7252d
69.0,139.0,wildfire,1560,84840,55.4,"['TIR', 'MIR', 'VNIR', 'SAR']",7a226863-5ce0-43dd-a5c1-17e7a68b7dca
69.5,140.5,wildfire,1560,58200,63.8,"['TIR', 'MIR', 'VNIR', 'SAR']",a00641e5-bc8a-47ff-bacc-f4ca50719b6d
8.3646,10.0354,high_flow_river,1567,84833,100.0,"['VNIR', 'Altimeter']",4def9269-884e-47b7-a6d9-22e8aa6b17ab
66.5,125.5,wildfire,1620,61200,45.0,"['TIR', 'MIR', 'VNIR', 'SAR']",5ac23b11-137b-4a9e-906a-4cae4d358581
68.5,83.5,wildfire,1860,70080,50.0,"['TIR', 'MIR', 'VNIR', 'SAR']",1876566a-138a-410f-acdf-a18b051bc7e8
64.6312,-100.0646,high_flow_river,2500,83900,61.9,"['VNIR', 'Altimeter']",ef33173a-71dd-4425-ac5d-e56724ab9931
18.0021,95.4604,high_flow_river,2625,83775,1.2,"['VNIR', 'Altimeter']",fff53faa-29f2-40e8-be21-bd583d7147d5
39.0,15.0,wildfire,2640,83760,53.6,"['TIR', 'MIR', 'VNIR', 'SAR']",0a28d263-cb51-4b8a-98a5-ac38f5566ae3
29.0,20.0,wildfire,2760,83640,47.3,"['TIR', 'MIR', 'VNIR', 'SAR']",a04815e4-ad88-44f3-9ee7-88db430aaa25
51.5,-125.0,wildfire,3055,600,58.5,"['TIR', 'MIR', 'VNIR', 'SAR']",10b9edb5-7e5d-4519-918d-a1b89b69afcc
40.0,-121.0,wildfire,4255,600,50.8,"['TIR', 'MIR', 'VNIR', 'SAR']",c1360bbc-1642-464d-95e6-c76098dde15d
68.5,146.0,wildfire,4440,81960,48.3,"['TIR', 'MIR', 'VNIR', 'SAR']",6bbf38f2-7468-4145-ace7-3a91b6ac12d8
69.0,138.5,wildfire,4500,55260,53.3,"['TIR', 'MIR', 'VNIR', 'SAR']",17e78766-965b-49c6-899b-5ddca11120ce
65.5,124.0,wildfire,4560,58260,48.4,"['TIR', 'MIR', 'VNIR', 'SAR']",333476f7-b32b-4947-afd8-20928407389c
35.0,-3.5,wildfire,5700,80700,52.5,"['TIR', 'MIR', 'VNIR', 'SAR']",540011c8-c032-435d-af3b-2ca58726af1b
63.0,120.0,wildfire,7560,58200,47.8,"['TIR', 'MIR', 'VNIR', 'SAR']",1d62be47-c65a-43a6-a2ac-a6a7fe089aba
64.0,114.0,wildfire,7620,58140,51.8,"['TIR', 'MIR', 'VNIR', 'SAR']",2f987810-98a2-4e01-a123-bcbd66e5c241
69.2437,-135.1521,high_flow_river,7934,25420,11.1,"['VNIR', 'Altimeter']",d55c936a-75a3-467d-9f72-421f9dc0fe2b
56.0,120.5,wildfire,10380,52260,44.3,"['TIR', 'MIR', 'VNIR', 'SAR']",58e22725-e625-41d5-a2d9-68eeed9df1c8
57.5,128.0,wildfire,10380,52320,40.8,"['TIR', 'MIR', 'VNIR', 'SAR']",844a7fdd-2c4b-43d0-80f9-a1c4ed36c23d
58.5,114.5,wildfire,10440,55260,43.8,"['TIR', 'MIR', 'VNIR', 'SAR']",1ea5f28b-c547-485d-abf0-f70e0fe42f9f
58.5,115.0,wildfire,10440,55260,57.2,"['TIR', 'MIR', 'VNIR', 'SAR']",44223f1a-f7a2-4f64-8d34-5293c73e8e53
58.0,115.0,wildfire,10440,55260,48.4,"['TIR', 'MIR', 'VNIR', 'SAR']",45fc2327-cc12-4d19-81d0-9530ae4ed8d1
62.5,121.5,wildfire,10500,49200,50.6,"['TIR', 'MIR', 'VNIR', 'SAR']",23f10495-f6ca-4742-a605-c440af9951e8
61.5,113.0,wildfire,10500,75900,43.4,"['TIR', 'MIR', 'VNIR', 'SAR']",1e69d0a3-9eb5-4751-b4fb-8bbc4f439d0e
68.5,135.5,wildfire,10500,49260,45.6,"['TIR', 'MIR', 'VNIR', 'SAR']",0b8cb551-de94-4893-974b-a7905ed1ba4c
64.0,117.0,wildfire,10500,55260,43.0,"['TIR', 'MIR', 'VNIR', 'SAR']",203fdb9d-5420-4450-8cd6-451286882a65
69.0,136.0,wildfire,10500,49260,43.0,"['TIR', 'MIR', 'VNIR', 'SAR']",b657c69f-085a-4c29-b610-ca25c487d64a
66.5,125.0,wildfire,10500,75900,51.5,"['TIR', 'MIR', 'VNIR', 'SAR']",a867e012-f4cd-4bce-9cd4-e588874fb92e
64.0,106.0,wildfire,10560,55200,38.7,"['TIR', 'MIR', 'VNIR', 'SAR']",34f15c5e-e8e9-4158-a057-8473601cab4c
62.5,105.0,wildfire,10560,75840,56.8,"['TIR', 'MIR', 'VNIR', 'SAR']",a89ca0b2-7113-4a21-b3dd-08ac3ecc06aa
63.0,105.5,wildfire,10560,58320,54.5,"['TIR', 'MIR', 'VNIR', 'SAR']",9a879c64-49b5-479e-bc1b-579972b7d3fe
63.0,108.5,wildfire,10560,55200,56.8,"['TIR', 'MIR', 'VNIR', 'SAR']",18710303-2513-4439-b0a3-f9a91a936b4d
63.5,110.0,wildfire,10560,55200,45.7,"['TIR', 'MIR', 'VNIR', 'SAR']",38c10488-83cb-465b-9c9c-08153c8a4428
62.0,105.5,wildfire,10560,58260,52.8,"['TIR', 'MIR', 'VNIR', 'SAR']",37a48120-790d-48c5-8c58-de49ded602b8
62.5,103.0,wildfire,10560,58320,51.2,"['TIR', 'MIR', 'VNIR', 'SAR']",98fdd96a-dd5d-4329-bf26-b956aa68fb02
62.5,104.5,wildfire,10560,58320,58.4,"['TIR', 'MIR', 'VNIR', 'SAR']",ec35eb9e-5b24-4147-b179-48e7afcbbfa4
63.0,106.0,wildfire,10560,58320,59.4,"['TIR', 'MIR', 'VNIR', 'SAR']",b4a43471-dd33-428e-9905-940b46e713c7
63.5,102.5,wildfire,10560,58320,59.5,"['TIR', 'MIR', 'VNIR', 'SAR']",8722444e-a863-4dc0-959d-843feabd3702
62.5,105.5,wildfire,10560,58320,65.9,"['TIR', 'MIR', 'VNIR', 'SAR']",6b68ed19-f824-4dff-82a0-ae0daf9086c5
64.5,113.5,wildfire,10560,55200,48.5,"['TIR', 'MIR', 'VNIR', 'SAR']",3854197f-4963-4ad2-9e03-050b9da88060
64.0,113.0,wildfire,10560,55200,48.5,"['TIR', 'MIR', 'VNIR', 'SAR']",b2a585c3-d9bc-4afe-801c-7d718c60283e
64.0,113.5,wildfire,10560,55200,44.6,"['TIR', 'MIR', 'VNIR', 'SAR']",a116c8bb-8b1f-4677-9cac-7090822c8f3c
63.5,108.0,wildfire,10560,58320,48.8,"['TIR', 'MIR', 'VNIR', 'SAR']",a3e6de76-fe10-4d12-92da-1f930eea3e56
-31.0,153.0,wildfire,11880,46200,50.5,"['TIR', 'MIR', 'VNIR', 'SAR']",f54d7378-1928-48cc-8874-b0116e3117e1
-31.0,152.5,wildfire,11880,46200,43.8,"['TIR', 'MIR', 'VNIR', 'SAR']",987013a4-4973-4b8c-bfad-a427a7cb7379
46.0146,127.6812,high_flow_river,11889,74511,100.0,"['VNIR', 'Altimeter']",84f1449c-8072-4672-89ff-28159d20eec2
-29.5,153.0,wildfire,11940,46140,55.7,"['TIR', 'MIR', 'VNIR', 'SAR']",11816400-cc87-4ec8-a754-371580c10202
-30.0,153.0,wildfire,11940,74460,55.0,"['TIR', 'MIR', 'VNIR', 'SAR']",1b911626-b496-4574-b194-15b34709836e
52.0521,29.2646,high_flow_river,11994,74406,75.9,"['VNIR', 'Altimeter']",357d9650-e994-4716-9ca1-7c42654def4d
