lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
53.9896,74.9021,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",ff6f32f2-105e-4eb3-94fe-f9b15eeea0fb
-27.9854,25.0937,high_flow_river,0,86400,2.2,"['VNIR', 'Altimeter']",c87f720f-264c-4eb0-aa79-e1b8c27a6d96
40.8562,107.9479,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",f82b7b28-a665-417a-9122-4c7574547b95
65.4646,54.0437,high_flow_river,0,8176,12.8,"['VNIR', 'Altimeter']",053eca61-4804-4072-9c66-1a6db7d9c895
16.5604,97.6562,high_flow_river,0,65147,100.0,"['VNIR', 'Altimeter']",cbfeb40e-5f2d-48cb-9640-8df71b497262
37.7687,119.0896,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",795ef971-a5f2-43e2-bcc5-eac7f25872fd
42.4396,-80.0271,high_flow_river,0,38999,37.0,"['VNIR', 'Altimeter']",7b224888-b2b2-4e7b-8e3b-0a0d23ceedc1
-9.0,25.5,wildfire,0,86400,55.3,"['TIR', 'MIR', 'VNIR', 'SAR']",eb4821dc-03ed-4d55-a472-a0b5ae2b7322
-9.5,23.0,wildfire,0,86400,55.7,"['TIR', 'MIR', 'VNIR', 'SAR']",3b3f13cc-8a8f-4d8c-8f1e-eddfca34eb64
17.9812,-102.1563,high_flow_river,0,16028,90.8,"['VNIR', 'Altimeter']",70aeceed-ee99-4083-852d-c10e2ee88ede
62.7854,-137.9188,high_flow_river,0,86400,27.4,"['VNIR', 'Altimeter']",727b71a2-a89b-4b3e-b32f-bf2dee11d957
36.0479,-111.9771,high_flow_river,0,39888,100.0,"['VNIR', 'Altimeter']",82ad5642-3158-45a0-8001-695d2fc38fb5
61.3604,-122.0188,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",58ca5330-79b5-47fb-a6a0-3fafc484fed1
-17.0,-62.0,wildfire,45,86101,78.8,"['TIR', 'MIR', 'VNIR', 'SAR']",3fea5ed3-2e82-4778-af59-5de77129e965
-0.5,-91.0,wildfire,45,86101,78.3,"['TIR', 'MIR', 'VNIR', 'SAR']",40b3da53-74a8-4c15-be83-3847c195ec6b
38.5,-108.5,wildfire,45,85201,80.5,"['TIR', 'MIR', 'VNIR', 'SAR']",06dbd640-770d-40cc-8404-3ad6ab7556f2
-16.5,-61.0,wildfire,45,3301,37.7,"['TIR', 'MIR', 'VNIR', 'SAR']",87223801-bbe1-47aa-a06b-0c8e4e57bdeb
-13.0,-49.5,wildfire,45,10501,36.6,"['TIR', 'MIR', 'VNIR', 'SAR']",33734aa9-67a2-45f6-a85f-89794ab7c0db
52.5,-120.5,wildfire,45,600,54.8,"['TIR', 'MIR', 'VNIR', 'SAR']",8a34d856-6882-4b4e-a460-6d178d0679c9
51.0,-124.5,wildfire,45,5101,72.9,"['TIR', 'MIR', 'VNIR', 'SAR']",00533f7a-e93a-4014-ba8d-438cf6fc9d59
-17.5,-61.5,wildfire,45,13201,50.2,"['TIR', 'MIR', 'VNIR', 'SAR']",4cf3ed33-6853-4ed1-bbc7-b85fb8732676
5.0,-70.5,wildfire,45,11401,43.3,"['TIR', 'MIR', 'VNIR', 'SAR']",dade201c-0ea3-4480-8648-2464aea53279
-13.0,-60.0,wildfire,45,14101,42.9,"['TIR', 'MIR', 'VNIR', 'SAR']",254bcb85-2960-4632-9eaf-51825d05f418
-17.0,-61.5,wildfire,45,86101,67.8,"['TIR', 'MIR', 'VNIR', 'SAR']",c8ad35cf-65cc-4081-8742-f134272af059
-15.5,-62.0,wildfire,45,11401,42.9,"['TIR', 'MIR', 'VNIR', 'SAR']",0d5e961f-c83e-45e1-9020-32fc4629179d
-15.5,-60.5,wildfire,45,19501,46.5,"['TIR', 'MIR', 'VNIR', 'SAR']",45a9c415-8eb5-4ef6-8a0c-c7b0304aef29
-14.0,-50.5,wildfire,45,15901,56.2,"['TIR', 'MIR', 'VNIR', 'SAR']",1b614d00-54e5-4c8d-89f4-b229aac0a023
50.5,-122.5,wildfire,45,42001,70.5,"['TIR', 'MIR', 'VNIR', 'SAR']",0125f113-3165-4af7-b4f5-275b92f5aa45
52.0,-125.5,wildfire,45,35701,92.9,"['TIR', 'MIR', 'VNIR', 'SAR']",750b8ebb-3ff3-4150-8469-74998cbc43ee
51.5,-122.0,wildfire,45,83401,86.4,"['TIR', 'MIR', 'VNIR', 'SAR']",ab892e4b-a003-485e-883f-e1fffaeb1d49
-17.5,-61.0,wildfire,45,86101,79.4,"['TIR', 'MIR', 'VNIR', 'SAR']",6aa8ed03-4a6c-4f80-9cb7-e3ba74fca327
-16.5,-62.0,wildfire,45,86101,54.4,"['TIR', 'MIR', 'VNIR', 'SAR']",b0d1689a-baac-42d4-8f70-b52a9903ce00
-10.5,-63.0,wildfire,45,23101,42.7,"['TIR', 'MIR', 'VNIR', 'SAR']",a8b690cd-382a-44d5-be18-56122303f759
-14.5,-64.0,wildfire,45,4201,42.6,"['TIR', 'MIR', 'VNIR', 'SAR']",651b0f60-fa98-4e1d-9302-cb86efc97bcc
-10.0,-64.5,wildfire,45,86101,67.4,"['TIR', 'MIR', 'VNIR', 'SAR']",d7d7cd6b-4387-403c-8465-bf9deaf6fe53
-9.5,-65.5,wildfire,45,4201,55.6,"['TIR', 'MIR', 'VNIR', 'SAR']",b0fc5017-9657-4aa2-8b43-57bf9b144708
