lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
26.2729,32.0062,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",bc7d82ad-aca7-4c01-9f22-6f0389f67e6a
-8.0146,-52.7146,high_flow_river,0,58296,7.1,"['VNIR', 'Altimeter']",59340e42-acbf-4a7a-b1dd-12b3d01f13a3
-38.5,-62.5,wildfire,38,15000,64.2,"['TIR', 'MIR', 'VNIR', 'SAR']",ddaca112-6e32-41d1-82b6-cb586b9799a7
4.5,-71.5,wildfire,38,8700,37.4,"['TIR', 'MIR', 'VNIR', 'SAR']",bff1a331-c520-47c8-9382-661893e8f31c
15.0,-92.0,wildfire,38,12300,38.9,"['TIR', 'MIR', 'VNIR', 'SAR']",f20e9603-cefb-4d81-8386-8ba1514ebef8
12.5,-86.5,wildfire,38,7800,39.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c92973bf-ba47-40e0-918f-03fe274ee3e3
8.0,-69.5,wildfire,38,19500,66.8,"['TIR', 'MIR', 'VNIR', 'SAR']",93320832-6a41-493f-b9d1-65a14ce057f0
5.5,-70.0,wildfire,38,6900,37.8,"['TIR', 'MIR', 'VNIR', 'SAR']",940bf242-6ef0-44c3-b83d-3ae39a7dddb1
18.0,-100.5,wildfire,38,9600,39.3,"['TIR', 'MIR', 'VNIR', 'SAR']",2f7a9212-67b1-4c7b-9798-4867879c02b3
10.0,-72.5,wildfire,38,33000,58.0,"['TIR', 'MIR', 'VNIR', 'SAR']",c0dabb34-665a-491c-b1f0-74bff9b3e81c
-38.5,-73.0,wildfire,38,2400,42.3,"['TIR', 'MIR', 'VNIR', 'SAR']",b69e5337-6c95-4ffc-8ea1-3e79b8c8c141
13.0,-87.0,wildfire,38,6900,42.4,"['TIR', 'MIR', 'VNIR', 'SAR']",1e9145f3-eae4-48b1-9421-6ba60ac6b3ad
14.5,-92.0,wildfire,38,3300,41.3,"['TIR', 'MIR', 'VNIR', 'SAR']",9f757d47-b814-443d-9bfd-946b2d18dbc2
22.5,-80.5,wildfire,38,4200,42.7,"['TIR', 'MIR', 'VNIR', 'SAR']",62690a15-75d3-472b-9819-9d7319f77bd3
13.5,-88.5,wildfire,38,18600,42.4,"['TIR', 'MIR', 'VNIR', 'SAR']",d66f62dc-f998-43c4-891f-f3922d00bd61
14.0,-90.5,wildfire,38,72600,67.5,"['TIR', 'MIR', 'VNIR', 'SAR']",1d105b15-66b9-4da7-bea2-01faf13a778d
